jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
POLSKA,,,,,,,,,,,,,,44670.0,46764.0,48368.0,51760.0,55066.0
MAŁOPOLSKIE,,,,,,,,,,,,,,39867.0,42139.0,43897.0,47250.0,50735.0
ŚLĄSKIE,,,,,,,,,,,,,,46415.0,48702.0,50172.0,53495.0,57255.0
LUBUSKIE,,,,,,,,,,,,,,37585.0,39042.0,40610.0,42793.0,45317.0
WIELKOPOLSKIE,,,,,,,,,,,,,,48014.0,50870.0,52809.0,56465.0,59355.0
ZACHODNIOPOMORSKIE,,,,,,,,,,,,,,37439.0,39693.0,40541.0,43072.0,45700.0
DOLNOŚLĄSKIE,,,,,,,,,,,,,,49972.0,52128.0,53613.0,57203.0,60447.0
OPOLSKIE,,,,,,,,,,,,,,36195.0,37791.0,38625.0,41199.0,43712.0
KUJAWSKO-POMORSKIE,,,,,,,,,,,,,,36374.0,38142.0,39541.0,41909.0,44694.0
POMORSKIE,,,,,,,,,,,,,,42580.0,44854.0,46827.0,50020.0,53497.0
WARMIŃSKO-MAZURSKIE,,,,,,,,,,,,,,31977.0,33194.0,34478.0,36416.0,37843.0
ŁÓDZKIE,,,,,,,,,,,,,,41793.0,43736.0,45162.0,48380.0,51166.0
ŚWIĘTOKRZYSKIE,,,,,,,,,,,,,,32537.0,33877.0,34672.0,36909.0,39742.0
LUBELSKIE,,,,,,,,,,,,,,31233.0,32063.0,33349.0,35642.0,37100.0
PODKARPACKIE,,,,,,,,,,,,,,31664.0,33050.0,34111.0,36142.0,38872.0
PODLASKIE,,,,,,,,,,,,,,32304.0,33230.0,34312.0,37140.0,39160.0
MAZOWIECKIE,,,,,,,,,,,,,,71661.0,74550.0,76992.0,83024.0,88677.0
