
nr;okręgi;powiaty;województwo
1;Legnica;"powiaty: bolesławiecki, głogowski, jaworski, jeleniogórski, kamiennogórski, legnicki, lubański, lubiński, lwówecki, polkowicki, zgorzelecki i złotoryjski; miasta na prawach powiatu: Jelenia Góra i Legnica";dolnośląskie
2;Wałbrzych;"powiaty: dzierżoniowski, kłodzki, świdnicki, wałbrzyski i ząbkowicki; miasto na prawach powiatu: Wałbrzych";dolnośląskie
3;Wrocław;"powiaty: górowski, milicki, oleśnicki, oławski, strzeliński, średzki, trzebnicki, wołowski i wrocławski; miasto na prawach powiatu: Wrocław";dolnośląskie
4;Bydgoszcz;"powiaty: bydgoski, inowrocławski, mogileński, nakielski, sępoleński, świecki, tucholski i żniński; miasto na prawach powiatu: Bydgoszcz";kujawsko-pomorskie
5;Toruń;"powiaty: aleksandrowski, brodnicki, chełmiński, golubsko-dobrzyński, grudziądzki, lipnowski, radziejowski, rypiński, toruński, wąbrzeski i włocławski; miasta na prawach powiatu: Grudziądz, Toruń i Włocławek";kujawsko-pomorskie
6;Lublin;"powiaty: janowski, kraśnicki, lubartowski, lubelski, łęczyński, łukowski, opolski, puławski, rycki i świdnicki; miasto na prawach powiatu: Lublin";lubelskie
7;Chełm;"powiaty: bialski, biłgorajski, chełmski, hrubieszowski, krasnostawski, parczewski, radzyński, tomaszowski, włodawski i zamojski; miasta na prawach powiatu: Biała Podlaska, Chełm i Zamość";lubelskie
8;Zielona Góra;województwo lubuskie;lubuskie
9;Łódź;"powiaty: brzeziński i łódzki wschodni; miasto na prawach powiatu: Łódź";łódzkie
10;Piotrków Trybunalski;"powiaty: bełchatowski, opoczyński, piotrkowski, radomszczański, rawski, skierniewicki i tomaszowski; miasta na prawach powiatu: Piotrków Trybunalski i Skierniewice";łódzkie
11;Sieradz;powiaty: kutnowski, łaski, łęczycki, łowicki, pabianicki, pajęczański, poddębicki, sieradzki, wieluński, wieruszowski, zduńskowolski i zgierski;łódzkie
12;Chrzanów;powiaty: chrzanowski, myślenicki, oświęcimski, suski i wadowicki;małopolskie
13;Kraków;"powiaty: krakowski, miechowski i olkuski; miasto na prawach powiatu: Kraków";małopolskie
