jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
POLSKA,,,3175674.0,2999601.0,2773000.0,2309410.0,1746573.0,1473752.0,1892680.0,1954706.0,1982676.0,2136815.0,2157883.0,1825180.0,1563339.0,1335155.0,1081746.0,968888.0,866374.0
MAŁOPOLSKIE,,,208028.0,193579.0,178067.0,145261.0,112602.0,97813.0,130007.0,142221.0,145094.0,161161.0,164434.0,139027.0,119601.0,96531.0,79430.0,71489.0,62610.0
Powiat bocheński,,,5616.0,5280.0,4663.0,3438.0,2529.0,2051.0,3192.0,3385.0,3766.0,4458.0,4346.0,3698.0,2792.0,2484.0,2118.0,1863.0,1070.0
Bochnia,,,1829.0,1718.0,1536.0,1203.0,877.0,674.0,1026.0,993.0,1141.0,1327.0,1330.0,1118.0,832.0,775.0,667.0,585.0,364.0
Bochnia,,,909.0,935.0,790.0,593.0,408.0,388.0,530.0,595.0,684.0,815.0,744.0,638.0,498.0,443.0,397.0,365.0,217.0
Drwinia,,,269.0,274.0,247.0,133.0,118.0,108.0,173.0,193.0,188.0,238.0,248.0,197.0,138.0,120.0,111.0,86.0,53.0
Lipnica Murowana,,,326.0,314.0,285.0,199.0,147.0,117.0,176.0,224.0,222.0,267.0,233.0,214.0,156.0,147.0,112.0,104.0,58.0
Łapanów,,,401.0,330.0,283.0,171.0,156.0,84.0,191.0,238.0,265.0,285.0,289.0,241.0,219.0,172.0,140.0,136.0,71.0
Nowy Wiśnicz,,,709.0,661.0,592.0,430.0,266.0,238.0,396.0,389.0,497.0,575.0,561.0,443.0,339.0,272.0,230.0,215.0,120.0
Nowy Wiśnicz - miasto,,,,,,,,,,,,,,,,,,,26.0
Nowy Wiśnicz - obszar wiejski,,,,,,,,,,,,,,,,,,,94.0
Rzezawa,,,708.0,633.0,550.0,432.0,354.0,293.0,447.0,440.0,448.0,542.0,567.0,486.0,335.0,324.0,280.0,232.0,119.0
Trzciana,,,225.0,179.0,163.0,132.0,101.0,63.0,122.0,141.0,129.0,180.0,161.0,171.0,117.0,94.0,85.0,63.0,31.0
Żegocina,,,240.0,236.0,217.0,145.0,102.0,86.0,131.0,172.0,192.0,229.0,213.0,190.0,158.0,137.0,96.0,77.0,37.0
Powiat krakowski,,,11326.0,10376.0,9244.0,7314.0,5943.0,5423.0,8474.0,9868.0,9204.0,9778.0,9872.0,8045.0,6531.0,5870.0,4954.0,4519.0,3942.0
Czernichów,,,560.0,541.0,456.0,316.0,282.0,245.0,391.0,508.0,479.0,484.0,462.0,386.0,357.0,290.0,232.0,237.0,205.0
Igołomia-Wawrzeńczyce,,,240.0,207.0,205.0,172.0,122.0,63.0,142.0,177.0,145.0,170.0,179.0,152.0,108.0,89.0,64.0,70.0,65.0
