jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
POLSKA,,1663.0,1662.0,1887.0,2151.0,2431.28,2725.28,2932.15,3019.64,3276.4,3444.21,3624.21,3746.78,3970.71,4114.66,4585.73,4937.72,5387.05
MAŁOPOLSKIE,,1551.0,1598.0,1767.0,2016.0,2291.31,2613.53,2805.1,2956.7,3253.43,3354.49,3417.42,3518.93,3742.49,3898.49,4463.09,4807.51,5211.47
Powiat bocheński,,1379.0,1451.0,1512.0,1765.0,1928.26,2109.34,2327.14,2492.56,2831.8,2830.42,3180.8,3041.44,3204.22,3171.15,3833.05,4401.97,4656.91
Bochnia,,1326.0,1377.0,1558.0,1663.0,1891.95,2179.21,2470.12,2545.06,2477.53,2438.78,2922.77,2834.6,3409.35,3211.28,3870.17,4545.13,4614.11
Bochnia,,1296.0,1393.0,1382.0,1677.0,1830.83,1889.38,2049.69,2238.42,3019.81,2571.46,2603.75,2633.69,2614.54,2698.54,3377.7,4054.68,4153.95
Drwinia,,1409.0,1432.0,1385.0,1729.0,1884.55,1984.6,2074.05,2240.67,2679.12,2693.1,3246.08,3300.74,3350.09,3441.19,4034.45,4591.09,4813.05
Lipnica Murowana,,1371.0,1445.0,1524.0,1862.0,2024.17,2214.56,2479.23,2563.98,2927.93,2970.76,3359.94,3260.17,3175.52,3100.86,3923.04,4228.88,4553.44
Łapanów,,1502.0,1394.0,1622.0,1761.0,2125.4,2295.79,2416.45,2879.69,3699.51,4100.44,4825.96,4043.11,4316.52,3944.31,4541.52,4890.08,4980.97
Nowy Wiśnicz,,1308.0,1314.0,1367.0,1566.0,1769.91,2023.27,2322.08,2285.15,2765.45,2789.31,3051.95,2876.8,2893.51,2884.58,3644.54,4170.06,4836.22
Rzezawa,,1398.0,1732.0,1497.0,1856.0,1732.67,1940.78,2173.19,2472.48,2645.78,2638.4,2868.64,3156.51,2824.16,3059.22,3615.61,3931.56,4362.57
Trzciana,,1583.0,1534.0,1627.0,2334.0,2388.21,2274.66,2410.01,2565.2,2921.34,3770.08,4562.03,3209.8,3489.18,3402.01,4201.94,4778.29,5410.88
