jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,1999,2000
POLSKA,300.87,303.13,321.07,334.85,350.39,396.78,467.12,560.75,593.73,636.56,667.03,685.77,690.31,723.57,757.89,778.01,831.94,889.99,269.03,290.99
MAŁOPOLSKIE,288.38,281.2,292.93,331.23,352.03,360.37,439.79,540.38,567.28,604.37,613.21,626.12,670.47,686.31,700.09,759.87,817.07,879.06,263.06,277.0
ŚLĄSKIE,337.36,335.52,330.8,345.66,374.02,423.43,485.78,585.45,622.59,656.39,662.63,710.68,742.76,765.45,793.07,798.18,881.0,944.31,311.29,340.09
LUBUSKIE,290.5,314.83,302.56,267.73,317.18,381.81,468.03,552.27,598.78,634.93,633.28,630.97,641.66,710.53,775.11,834.09,853.73,931.19,270.86,287.65
WIELKOPOLSKIE,279.7,295.0,315.66,328.58,342.24,390.27,456.51,524.55,548.72,577.9,599.56,615.18,642.43,672.03,694.46,735.6,832.63,839.31,279.03,284.49
ZACHODNIOPOMORSKIE,312.7,310.47,335.36,334.29,346.94,396.8,458.18,543.63,576.21,613.86,669.38,680.1,648.34,733.96,803.4,795.15,885.37,948.74,307.41,288.54
DOLNOŚLĄSKIE,308.81,318.05,323.97,316.52,352.06,404.26,476.88,600.0,635.2,661.71,720.96,730.42,710.5,755.03,847.97,876.22,886.45,982.52,283.19,278.21
OPOLSKIE,324.16,306.12,305.75,307.8,357.32,372.19,437.98,568.97,599.69,610.04,684.41,714.53,625.96,632.89,691.16,744.97,754.25,758.01,258.14,286.67
KUJAWSKO-POMORSKIE,278.93,259.71,262.29,278.52,284.66,329.1,428.3,492.54,504.92,541.68,557.76,558.91,549.11,581.15,639.96,669.48,689.73,795.22,244.05,253.34
POMORSKIE,343.82,372.67,369.62,360.41,360.79,470.49,570.53,624.21,637.48,689.36,712.16,749.64,759.36,772.72,766.13,849.64,837.42,930.56,279.07,326.64
WARMIŃSKO-MAZURSKIE,257.55,252.57,261.99,263.99,282.93,337.21,407.37,524.1,571.88,544.2,560.54,582.18,579.75,636.22,637.72,643.11,741.79,779.11,188.66,254.66
ŁÓDZKIE,295.5,296.9,320.5,342.76,360.98,392.3,449.04,542.98,558.87,594.75,636.38,682.08,685.97,691.36,724.87,752.6,804.65,861.87,259.42,280.92
ŚWIĘTOKRZYSKIE,229.43,229.69,245.36,245.73,237.34,273.86,318.79,415.36,471.08,486.0,503.52,514.35,567.58,589.69,570.88,604.3,698.13,750.51,190.35,218.09
LUBELSKIE,210.2,232.92,244.3,256.22,257.2,274.8,333.04,411.4,449.48,449.07,474.37,460.32,492.0,556.44,568.11,601.65,611.77,650.87,199.27,190.61
PODKARPACKIE,237.87,232.8,252.28,255.98,269.93,287.57,332.78,410.27,434.5,473.49,488.99,509.59,535.07,568.12,604.09,594.06,666.72,716.28,223.78,226.31
PODLASKIE,222.24,210.62,228.2,258.0,256.88,292.65,338.14,427.16,485.34,463.31,507.87,531.74,528.67,539.11,593.24,562.09,618.17,694.87,205.41,214.47
MAZOWIECKIE,395.67,392.56,457.89,493.09,496.56,565.38,651.46,772.59,820.62,958.63,1009.07,1016.32,977.08,1007.33,1042.68,1019.91,1073.56,1123.3,338.33,399.65
