jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,1999,2000
POLSKA,55.16,54.37,55.38,58.94,61.48,70.85,82.78,91.58,101.37,109.26,109.01,108.46,111.81,114.51,120.14,124.38,134.58,147.29,45.79,52.81
MAŁOPOLSKIE,63.72,51.83,53.72,64.02,63.89,68.71,89.98,88.05,102.16,111.18,115.47,116.01,123.32,128.7,127.16,140.66,144.4,182.93,53.83,46.48
ŚLĄSKIE,50.28,44.44,42.46,46.51,57.36,56.89,63.97,71.33,75.36,79.12,85.72,98.33,93.16,92.3,107.44,106.97,112.39,118.91,36.54,51.33
LUBUSKIE,70.13,54.08,52.68,53.83,65.62,88.89,83.28,99.29,111.83,121.84,115.25,107.22,100.19,91.47,95.42,86.11,142.64,172.65,47.23,61.52
WIELKOPOLSKIE,66.47,54.4,56.95,56.28,62.53,78.49,79.09,95.37,99.76,110.6,105.94,103.12,108.44,108.3,113.13,130.28,132.17,137.14,48.03,59.64
ZACHODNIOPOMORSKIE,59.33,71.64,64.28,75.39,64.75,89.47,103.78,113.97,114.81,102.48,112.87,116.59,115.5,117.18,124.2,122.9,143.06,150.04,57.02,68.04
DOLNOŚLĄSKIE,58.16,49.65,49.51,58.69,57.9,58.46,81.49,103.96,124.99,117.98,104.3,107.58,113.09,111.88,129.92,145.26,142.26,144.16,52.27,52.62
OPOLSKIE,35.23,42.94,37.69,48.23,54.12,49.12,70.05,65.01,71.49,72.03,84.16,72.78,74.28,68.73,80.72,89.37,83.7,75.35,48.55,55.97
KUJAWSKO-POMORSKIE,44.72,60.69,48.27,38.43,43.3,54.88,62.42,77.6,96.2,101.53,84.86,91.32,88.06,84.77,80.18,83.49,90.76,98.35,28.98,36.55
POMORSKIE,78.21,79.54,74.42,83.77,88.95,113.8,119.51,120.95,121.73,133.59,173.42,154.22,143.09,127.95,135.18,162.19,187.6,197.04,51.04,72.28
WARMIŃSKO-MAZURSKIE,43.0,46.51,57.73,60.42,69.41,56.87,59.48,84.59,97.38,101.13,90.84,83.95,70.72,68.3,90.58,91.0,133.98,152.79,33.5,43.99
ŁÓDZKIE,52.35,45.36,48.01,34.89,44.14,68.94,73.0,75.11,108.06,118.86,89.97,87.58,82.44,94.0,113.78,118.22,131.1,113.73,50.11,55.4
ŚWIĘTOKRZYSKIE,24.66,28.67,29.84,44.26,39.33,43.0,52.99,82.52,81.79,95.91,71.87,89.67,87.31,85.24,80.98,99.05,97.07,105.12,29.5,39.96
LUBELSKIE,32.04,29.57,40.45,53.29,41.87,45.92,53.66,69.9,62.1,62.41,70.18,71.69,87.16,85.67,85.18,88.1,92.6,108.4,25.88,34.45
PODKARPACKIE,29.22,34.84,34.27,31.54,41.65,40.71,44.8,41.0,49.74,57.86,57.45,48.75,55.51,62.68,68.72,74.12,79.92,75.6,36.38,30.86
PODLASKIE,31.22,40.95,52.17,60.65,53.61,56.37,57.55,64.42,61.54,67.45,88.87,74.24,80.64,91.41,90.3,99.62,89.49,105.32,26.21,41.03
MAZOWIECKIE,81.07,89.18,92.39,93.34,91.54,107.63,138.64,141.32,156.16,181.19,178.75,175.2,194.52,209.39,201.8,182.51,200.48,234.2,70.97,70.38
