jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
POLSKA,,1404229.0,1466643.0,1461217.0,1379962.0,1287918.0,1152993.0,1082057.0,1129577.0,1138523.0,1159554.0,1119803.0,1061239.0,867855.0,799779.0,748459.0,753963.0,768049.0,796557.0
MAŁOPOLSKIE,,106208.0,129312.0,126953.0,115179.0,105630.0,87006.0,82445.0,88216.0,94302.0,98443.0,96920.0,86529.0,73687.0,69300.0,72583.0,82410.0,74697.0,80015.0
Powiat bocheński,,,,,,,,,,,,,2023.0,1604.0,1515.0,1660.0,2130.0,6384.0,2032.0
Powiat krakowski,,,,,,,,,,,,,4953.0,3814.0,3789.0,3013.0,3872.0,3557.0,9553.0
Powiat miechowski,,,,,,,,,,,,,1069.0,913.0,791.0,792.0,799.0,649.0,589.0
Powiat myślenicki,,,,,,,,,,,,,1661.0,1427.0,1232.0,1185.0,1126.0,1268.0,1502.0
Powiat proszowicki,,,,,,,,,,,,,728.0,390.0,426.0,485.0,331.0,389.0,361.0
Powiat wielicki,,,,,,,,,,,,,2186.0,1652.0,1526.0,1486.0,1325.0,1667.0,2224.0
Powiat m.Kraków,,,,,,,,,,,,,31326.0,26337.0,24348.0,23704.0,30206.0,18109.0,19539.0
Powiat gorlicki,,,,,,,,,,,,,1675.0,1213.0,1089.0,1525.0,1281.0,1939.0,3164.0
Powiat limanowski,,,,,,,,,,,,,2716.0,1711.0,1247.0,1869.0,1449.0,1354.0,1556.0
Powiat nowosądecki,,,,,,,,,,,,,2811.0,3246.0,4169.0,1761.0,4991.0,3198.0,5550.0
Powiat m.Nowy Sącz,,,,,,,,,,,,,5158.0,4200.0,4541.0,5154.0,3104.0,3611.0,6164.0
Powiat chrzanowski,,,,,,,,,,,,,4280.0,3494.0,3042.0,3875.0,3432.0,4587.0,3126.0
Powiat olkuski,,,,,,,,,,,,,2625.0,2422.0,2038.0,1732.0,2033.0,1738.0,2174.0
Powiat oświęcimski,,,,,,,,,,,,,3940.0,3628.0,3430.0,3045.0,3817.0,3097.0,3583.0
Powiat wadowicki,,,,,,,,,,,,,2706.0,2356.0,2084.0,1740.0,2303.0,2349.0,1810.0
Powiat brzeski,,,,,,,,,,,,,3130.0,2583.0,2227.0,1917.0,2508.0,3144.0,1759.0
Powiat dąbrowski,,,,,,,,,,,,,1837.0,1302.0,1533.0,916.0,1283.0,775.0,1103.0
Powiat tarnowski,,,,,,,,,,,,,2620.0,2036.0,2033.0,2085.0,2598.0,2653.0,5774.0
Powiat m.Tarnów,,,,,,,,,,,,,3507.0,3776.0,3074.0,8193.0,9085.0,7850.0,3603.0
Powiat nowotarski,,,,,,,,,,,,,2491.0,2607.0,2213.0,2086.0,2322.0,2151.0,2223.0
Powiat suski,,,,,,,,,,,,,1111.0,993.0,1189.0,2191.0,911.0,823.0,985.0
Powiat tatrzański,,,,,,,,,,,,,1976.0,1983.0,1764.0,2169.0,1504.0,3405.0,1641.0
ŚLĄSKIE,,182623.0,192702.0,202189.0,193415.0,183620.0,164685.0,153214.0,157522.0,169024.0,172073.0,167573.0,158520.0,131368.0,117163.0,105799.0,111679.0,110167.0,108859.0
Powiat bielski,,,,,,,,,,,,,3126.0,2766.0,2393.0,2039.0,1703.0,1767.0,1960.0
Powiat cieszyński,,,,,,,,,,,,,3871.0,4297.0,5527.0,3388.0,3680.0,2850.0,3538.0
Powiat żywiecki,,,,,,,,,,,,,2939.0,2851.0,2771.0,2537.0,1955.0,3705.0,2716.0
Powiat m.Bielsko-Biała,,,,,,,,,,,,,6218.0,5638.0,4860.0,6552.0,4108.0,4424.0,5319.0
Powiat lubliniecki,,,,,,,,,,,,,3243.0,1433.0,1450.0,1390.0,1724.0,983.0,1705.0
Powiat tarnogórski,,,,,,,,,,,,,4028.0,3192.0,3196.0,2532.0,4349.0,2282.0,2632.0
Powiat m.Bytom,,,,,,,,,,,,,7123.0,6400.0,5724.0,3814.0,4190.0,5201.0,4759.0
Powiat m.Piekary Śląskie,,,,,,,,,,,,,2374.0,2096.0,1807.0,2057.0,1343.0,3578.0,1492.0
Powiat częstochowski,,,,,,,,,,,,,1975.0,1769.0,1447.0,1323.0,1483.0,1565.0,1463.0
Powiat kłobucki,,,,,,,,,,,,,1578.0,1055.0,1032.0,1140.0,977.0,901.0,861.0
Powiat myszkowski,,,,,,,,,,,,,1795.0,1272.0,1180.0,1215.0,1089.0,1800.0,1551.0
Powiat m.Częstochowa,,,,,,,,,,,,,7956.0,5721.0,5038.0,5167.0,5450.0,5355.0,5539.0
Powiat gliwicki,,,,,,,,,,,,,3453.0,2473.0,2309.0,3029.0,2240.0,1862.0,1888.0
Powiat m.Gliwice,,,,,,,,,,,,,8052.0,6688.0,7532.0,4707.0,5389.0,5296.0,5345.0
Powiat m.Zabrze,,,,,,,,,,,,,7227.0,5051.0,4232.0,4238.0,4513.0,5535.0,4959.0
Powiat m.Chorzów,,,,,,,,,,,,,10071.0,4702.0,5855.0,3084.0,2760.0,2977.0,2482.0
Powiat m.Katowice,,,,,,,,,,,,,18522.0,17548.0,13099.0,11046.0,11941.0,10358.0,10192.0
Powiat m.Mysłowice,,,,,,,,,,,,,2846.0,2531.0,2401.0,1956.0,1631.0,1920.0,1537.0
Powiat m.Ruda Śląska,,,,,,,,,,,,,4833.0,4010.0,3506.0,2861.0,3344.0,3554.0,2885.0
Powiat m.Siemianowice Śląskie,,,,,,,,,,,,,2258.0,2297.0,2054.0,1691.0,3071.0,1524.0,1365.0
Powiat m.Świętochłowice,,,,,,,,,,,,,1895.0,1596.0,1538.0,1500.0,1825.0,1568.0,1411.0
Powiat raciborski,,,,,,,,,,,,,2653.0,1666.0,2022.0,2864.0,4750.0,2134.0,2323.0
Powiat rybnicki,,,,,,,,,,,,,1308.0,1283.0,1285.0,1145.0,856.0,1061.0,912.0
Powiat wodzisławski,,,,,,,,,,,,,3812.0,3448.0,3037.0,2604.0,2343.0,2272.0,3125.0
Powiat m.Jastrzębie-Zdrój,,,,,,,,,,,,,2893.0,2228.0,1868.0,1810.0,2702.0,1905.0,1961.0
Powiat m.Rybnik,,,,,,,,,,,,,4347.0,3026.0,3119.0,3010.0,3102.0,2949.0,3593.0
Powiat m.Żory,,,,,,,,,,,,,1672.0,1896.0,1448.0,1824.0,1379.0,1262.0,1527.0
Powiat będziński,,,,,,,,,,,,,5195.0,4209.0,3579.0,3215.0,4335.0,5784.0,5163.0
Powiat zawierciański,,,,,,,,,,,,,3288.0,2920.0,2136.0,2139.0,2274.0,2799.0,2666.0
Powiat m.Dąbrowa Górnicza,,,,,,,,,,,,,6809.0,4284.0,3542.0,3969.0,3295.0,4083.0,4836.0
Powiat m.Jaworzno,,,,,,,,,,,,,3156.0,3360.0,1700.0,1507.0,1663.0,1799.0,1785.0
Powiat m.Sosnowiec,,,,,,,,,,,,,8223.0,7805.0,6882.0,5450.0,5283.0,6571.0,6676.0
Powiat mikołowski,,,,,,,,,,,,,2385.0,2368.0,1832.0,2085.0,1919.0,2346.0,2151.0
Powiat pszczyński,,,,,,,,,,,,,1982.0,2160.0,1659.0,1855.0,1330.0,2081.0,2642.0
Powiat bieruńsko-lędziński,,,,,,,,,,,,,1054.0,1642.0,856.0,1309.0,1280.0,1002.0,977.0
Powiat m.Tychy,,,,,,,,,,,,,4360.0,3687.0,3247.0,3747.0,6403.0,3114.0,2923.0
LUBUSKIE,,43211.0,43322.0,42234.0,39483.0,38752.0,38386.0,37913.0,37395.0,39230.0,41065.0,38692.0,38242.0,29736.0,26949.0,22775.0,23388.0,25155.0,25847.0
Powiat gorzowski,,,,,,,,,,,,,2007.0,1571.0,1405.0,1306.0,1077.0,1251.0,1315.0
Powiat międzyrzecki,,,,,,,,,,,,,2915.0,1232.0,1431.0,1374.0,986.0,1017.0,1002.0
Powiat słubicki,,,,,,,,,,,,,1731.0,1852.0,1311.0,1252.0,1235.0,1255.0,1403.0
Powiat strzelecko-drezdenecki,,,,,,,,,,,,,1382.0,1079.0,1049.0,813.0,904.0,996.0,993.0
Powiat sulęciński,,,,,,,,,,,,,1043.0,1110.0,1538.0,820.0,748.0,902.0,892.0
Powiat m.Gorzów Wielkopolski,,,,,,,,,,,,,7386.0,3707.0,3490.0,3316.0,4765.0,4079.0,3836.0
Powiat krośnieński,,,,,,,,,,,,,1567.0,1338.0,1206.0,969.0,1027.0,1166.0,1126.0
Powiat nowosolski,,,,,,,,,,,,,3228.0,3573.0,3110.0,2011.0,1751.0,2298.0,2146.0
Powiat świebodziński,,,,,,,,,,,,,1747.0,1386.0,1351.0,1139.0,1092.0,1076.0,1249.0
Powiat zielonogórski,,,,,,,,,,,,,2385.0,3198.0,1401.0,1755.0,1270.0,1761.0,1299.0
Powiat żagański,,,,,,,,,,,,,2379.0,1967.0,2173.0,1897.0,1703.0,2305.0,2338.0
Powiat żarski,,,,,,,,,,,,,3091.0,2446.0,2207.0,2086.0,2473.0,1875.0,2530.0
Powiat wschowski,,,,,,,,,,,,,3159.0,707.0,666.0,674.0,659.0,774.0,734.0
Powiat m.Zielona Góra,,,,,,,,,,,,,4222.0,4570.0,4611.0,3363.0,3698.0,4400.0,4984.0
WIELKOPOLSKIE,,117913.0,122127.0,117417.0,115673.0,104214.0,90697.0,91237.0,97703.0,96929.0,101372.0,96007.0,95917.0,76459.0,68804.0,61705.0,57487.0,59956.0,63187.0
