jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,1995,1996,1997,1998,1999,2000
POLSKA,25.9,25.2,24.0,22.9,21.7,21.0,20.4,19.6,18.7,18.0,17.5,16.7,16.1,15.5,15.2,14.6,13.9,13.5,31.7,30.7,29.6,28.6,27.7,26.6
MAŁOPOLSKIE,24.3,23.1,21.8,21.2,21.0,18.8,18.3,18.5,17.5,15.7,16.1,15.1,13.9,13.7,13.7,13.4,12.8,11.3,30.8,29.1,27.8,26.9,24.5,24.4
ŚLĄSKIE,22.3,21.8,20.8,19.8,18.5,18.0,16.7,15.4,14.7,14.2,14.0,13.2,12.7,12.3,12.5,11.9,11.4,11.2,27.8,26.3,24.7,25.1,24.1,23.8
LUBUSKIE,24.5,24.2,23.3,22.7,22.1,20.8,20.9,21.0,19.7,18.5,18.4,18.3,18.1,16.8,16.6,15.9,15.2,15.7,32.5,33.1,30.3,27.6,27.3,27.4
WIELKOPOLSKIE,24.6,24.3,22.6,21.5,20.4,19.5,19.8,19.2,18.9,17.8,16.3,15.5,15.0,14.5,13.9,14.2,13.1,13.0,29.4,30.0,30.3,28.6,27.2,25.2
ZACHODNIOPOMORSKIE,27.5,26.9,26.4,25.7,24.7,23.5,22.3,22.2,21.5,21.7,21.0,19.3,19.0,19.5,18.8,18.2,17.1,16.1,32.1,31.4,30.9,31.5,28.4,28.0
DOLNOŚLĄSKIE,24.7,23.9,23.5,22.0,19.6,18.5,18.4,18.3,16.8,17.0,17.0,16.6,15.5,13.9,14.7,14.4,12.8,12.9,29.6,28.3,28.0,26.9,27.1,26.1
OPOLSKIE,25.5,24.7,23.7,23.2,22.1,22.5,21.0,19.6,18.7,17.8,17.4,16.6,16.6,15.9,15.5,14.5,14.0,13.0,31.2,30.1,29.7,29.4,29.6,26.2
KUJAWSKO-POMORSKIE,27.7,25.8,25.0,24.9,23.6,23.8,23.9,23.2,22.2,21.0,20.4,19.0,17.9,17.1,17.0,16.1,15.5,15.7,33.6,31.7,30.7,30.8,29.1,28.6
POMORSKIE,24.6,26.4,23.7,22.2,22.3,21.4,21.2,20.5,20.2,19.0,18.6,17.9,17.8,17.7,15.8,15.1,14.4,14.6,30.6,29.1,27.5,26.7,26.7,25.2
WARMIŃSKO-MAZURSKIE,32.9,31.4,30.0,29.3,28.9,27.3,26.3,26.4,24.0,24.6,24.7,24.0,23.3,22.7,22.1,21.9,20.6,19.8,39.6,38.2,35.1,33.2,35.0,34.2
ŁÓDZKIE,27.9,27.4,26.1,24.3,22.4,22.4,21.9,20.8,20.0,19.3,18.5,17.7,16.9,15.9,15.4,14.9,15.2,13.5,34.2,33.2,31.8,29.8,28.5,26.6
ŚWIĘTOKRZYSKIE,29.2,25.7,24.3,23.7,24.0,25.0,24.5,22.0,19.5,19.3,19.4,18.0,16.7,16.9,16.8,16.0,15.1,14.2,35.9,34.5,32.9,33.4,30.5,29.8
LUBELSKIE,28.2,27.9,27.3,24.9,23.0,23.3,22.9,21.2,19.7,19.9,19.4,18.4,17.3,16.8,16.5,15.4,15.4,15.3,35.5,34.9,34.0,33.0,29.5,28.9
PODKARPACKIE,25.8,26.5,26.2,25.4,24.3,22.7,22.3,21.1,19.6,18.8,19.3,18.7,17.0,17.0,16.3,14.0,13.2,13.3,33.2,32.9,31.8,29.1,28.6,26.9
PODLASKIE,31.7,29.4,28.7,27.9,27.5,26.3,25.6,24.3,23.6,22.0,20.7,19.7,19.3,18.3,17.9,16.3,15.7,15.6,37.7,37.7,34.9,34.0,33.3,32.2
MAZOWIECKIE,25.0,24.4,22.3,20.7,19.3,18.8,17.8,17.0,16.7,15.9,14.9,14.6,14.8,14.0,13.5,12.9,12.3,12.1,29.7,29.0,28.3,26.7,27.1,24.8
