jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,1995,1996,1997,1998,1999,2000
POLSKA,30.3,30.7,31.0,31.5,32.0,32.7,32.8,32.5,32.2,32.6,32.2,31.9,32.1,31.6,31.7,31.9,31.9,32.0,28.0,28.3,29.0,29.6,30.2,30.8
MAŁOPOLSKIE,28.7,29.5,30.7,30.9,32.1,33.1,33.2,31.4,31.1,33.9,32.1,31.8,32.6,31.0,31.0,31.3,30.3,31.7,27.1,28.1,28.6,28.4,30.4,30.3
ŚLĄSKIE,31.5,32.3,31.9,32.2,33.1,33.9,34.5,34.6,33.8,34.2,34.0,33.5,34.0,34.3,34.4,34.9,34.0,34.0,28.0,29.1,30.3,29.6,29.9,31.4
LUBUSKIE,31.0,30.0,30.0,30.5,31.2,32.3,32.4,32.5,33.5,33.3,32.7,33.3,32.1,31.3,31.6,32.5,32.4,32.5,27.8,27.3,28.5,30.4,30.7,31.0
WIELKOPOLSKIE,29.5,29.0,29.9,30.2,30.4,31.5,31.4,30.6,30.9,30.0,31.2,31.8,31.7,32.0,31.6,31.1,31.3,30.5,26.9,26.3,26.2,27.5,28.5,29.2
ZACHODNIOPOMORSKIE,30.5,31.8,31.8,30.4,30.2,30.7,32.0,31.3,30.9,29.9,30.6,30.8,31.4,30.9,31.1,30.6,31.3,31.9,28.4,29.5,29.4,28.4,31.1,31.3
DOLNOŚLĄSKIE,30.5,30.5,32.1,33.3,34.5,34.9,34.2,33.7,32.8,33.8,32.4,31.7,32.5,33.0,32.8,32.1,32.4,31.2,29.5,30.5,30.0,30.6,30.3,31.1
OPOLSKIE,27.3,28.3,28.8,28.7,29.7,30.4,32.0,31.4,31.5,31.6,31.5,30.9,30.3,29.5,29.9,30.7,29.5,30.9,26.3,27.3,27.5,26.7,26.9,27.4
KUJAWSKO-POMORSKIE,27.0,27.4,26.6,27.8,28.7,29.7,30.5,29.8,29.8,30.5,29.5,30.5,31.0,30.8,31.8,31.6,30.1,30.7,25.4,25.6,26.4,26.8,27.9,27.7
POMORSKIE,31.0,29.4,31.9,32.2,32.0,33.2,32.4,32.4,31.8,32.0,31.1,30.9,30.7,30.4,31.2,30.1,29.7,30.2,28.1,29.8,30.6,30.2,30.0,31.5
WARMIŃSKO-MAZURSKIE,27.6,28.7,30.0,29.0,29.6,31.3,30.5,29.1,29.7,29.2,29.8,31.7,31.1,30.3,30.5,29.7,30.0,30.9,25.7,26.3,27.3,27.8,27.6,27.6
ŁÓDZKIE,30.5,31.3,30.7,32.0,33.2,31.8,32.3,33.0,32.3,33.5,33.9,33.9,33.9,33.5,33.8,34.1,33.9,34.3,28.7,28.4,29.3,30.8,31.8,32.2
ŚWIĘTOKRZYSKIE,29.0,30.3,30.8,31.0,30.2,29.9,29.8,30.6,31.9,31.3,30.3,30.2,30.7,30.4,30.6,30.3,31.6,32.1,26.5,25.4,28.3,28.4,28.7,29.7
LUBELSKIE,30.2,30.2,29.6,30.9,31.7,31.1,31.3,31.9,32.0,32.8,32.4,31.5,31.6,31.0,32.0,33.3,33.6,33.4,26.3,26.6,28.3,29.3,30.5,30.6
PODKARPACKIE,30.9,31.6,30.7,30.6,31.0,32.5,31.7,32.8,32.0,31.9,31.4,31.3,32.1,31.5,30.9,32.2,34.0,34.1,26.0,25.6,26.2,28.6,28.5,29.3
PODLASKIE,28.6,30.9,29.8,30.4,30.9,31.7,33.0,33.7,32.5,33.7,32.3,31.9,33.2,32.6,32.1,32.0,32.7,32.2,26.6,26.8,29.3,29.5,30.6,29.0
MAZOWIECKIE,33.8,33.6,33.8,34.6,34.0,34.7,35.1,34.3,34.0,33.8,32.8,31.8,31.3,30.0,30.0,30.5,30.6,30.7,32.4,32.0,32.2,33.1,33.6,35.0
