jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,719733.0,139027.0,139027.0,17361.0,222.0,12590410636.18,3742.49,0.1,13.7,31.0,4404.0,19.0,62.8,18.2,686.31,128.7,,346.85,25502.0,39834.0,73687.0
ŚLĄSKIE,1146675.0,175675.0,175675.0,22765.0,372.0,18560411427.21,4040.71,-1.6,12.3,34.3,8230.0,16.8,63.2,20.0,765.45,92.3,,462.25,30285.0,46511.0,131368.0
LUBUSKIE,214556.0,47115.0,47115.0,4875.0,73.0,3626671031.47,3552.89,-3.9,16.8,31.3,2116.0,18.3,63.8,18.0,710.53,91.47,,391.15,24336.0,37637.0,29736.0
WIELKOPOLSKIE,742434.0,116410.0,116410.0,17437.0,116.0,12454294418.22,3589.69,-1.8,14.5,32.0,5892.0,19.2,63.1,17.7,672.03,108.3,,348.98,28123.0,48015.0,76459.0
ZACHODNIOPOMORSKIE,355173.0,94465.0,94465.0,8183.0,75.0,6796059915.18,3955.87,-2.5,19.5,30.9,3342.0,17.5,63.8,18.7,733.96,117.18,,406.79,26068.0,37477.0,43563.0
DOLNOŚLĄSKIE,643710.0,121562.0,121562.0,13599.0,146.0,11701583720.36,4023.3,0.7,13.9,33.0,5786.0,16.8,63.5,19.7,755.03,111.88,,419.19,28112.0,50061.0,83566.0
OPOLSKIE,201813.0,42361.0,42361.0,4822.0,106.0,3281338533.39,3272.91,-3.1,15.9,29.5,1676.0,16.2,64.3,19.6,632.89,68.73,,411.42,23885.0,36299.0,22980.0
KUJAWSKO-POMORSKIE,455776.0,127111.0,127111.0,10294.0,116.0,8064945895.63,3857.28,-5.7,17.1,30.8,4303.0,18.3,63.3,18.4,581.15,84.77,,383.39,24068.0,36387.0,42060.0
POMORSKIE,447117.0,96752.0,96752.0,11461.0,126.0,9840501420.44,4280.69,-1.0,17.7,30.4,3211.0,19.5,62.8,17.7,772.72,127.95,,391.56,26290.0,42570.0,54739.0
WARMIŃSKO-MAZURSKIE,290595.0,98139.0,98139.0,6978.0,60.0,5355037551.67,3704.68,-4.7,22.7,30.3,2690.0,18.8,64.2,17.0,636.22,68.3,,399.38,23150.0,31957.0,30467.0
ŁÓDZKIE,609801.0,126157.0,126157.0,11405.0,137.0,9449552676.6,3767.07,-1.2,15.9,33.5,4396.0,16.9,61.9,21.2,691.36,94.0,,392.07,27384.0,41869.0,51927.0
ŚWIĘTOKRZYSKIE,299783.0,75434.0,75434.0,6051.0,108.0,4388818825.09,3468.28,-1.1,16.9,30.4,1913.0,17.0,62.6,20.4,589.69,85.24,,384.11,23266.0,32643.0,25476.0
LUBELSKIE,508715.0,116869.0,116869.0,10911.0,85.0,7671534651.35,3565.11,-0.1,16.8,31.0,3175.0,18.1,62.4,19.5,556.44,85.67,,365.72,23097.0,31192.0,36886.0
PODKARPACKIE,452801.0,137932.0,137932.0,11287.0,119.0,7421645861.75,3486.82,-3.2,17.0,31.5,2322.0,18.8,63.5,17.7,568.12,62.68,,356.67,21088.0,31644.0,27908.0
PODLASKIE,256927.0,60394.0,60394.0,6135.0,59.0,4817550797.33,4037.0,0.5,18.3,32.6,1905.0,17.7,63.4,19.0,539.11,91.41,,396.42,22180.0,32352.0,18512.0
MAZOWIECKIE,1119993.0,249777.0,249777.0,24924.0,150.0,26788402165.31,5031.14,9.2,14.0,30.0,9761.0,18.5,62.0,19.5,1007.33,209.39,,365.95,33014.0,71715.0,118521.0
