index,Blue,Red,Gray
2001,1265.05,777.68,1602.3400000000001
2002,2437.49,649.54,824.63
2003,2278.04,805.1799999999998,906.98
2004,2615.24,2113.0,852.62
2005,2512.43,1537.8300000000002,649.02
2006,3427.6200000000003,2863.29,1426.0600000000002
2007,1979.25,2833.6000000000004,1494.1000000000001
2008,1791.8400000000004,3791.68,1691.95
2009,1480.98,3011.07,1701.43
2010,2285.51,3945.1,1691.78
2011,1505.9099999999999,4041.8299999999995,1751.7500000000002
2012,1459.7900000000002,3588.77,1828.93
2013,1670.1499999999999,2952.67,2200.41
2014,1703.9799999999998,2944.6700000000005,1732.29
2015,4053.3,3652.13,1274.25
2016,5011.13,3677.84,1054.35
2017,4481.18,2640.1800000000003,1096.3600000000001
2018,5080.289999999999,2563.1899999999996,1373.98
2019,5348.75,2869.57,1263.69
