,SLD,Komitet Wyborczy - Akcja Wyborcza Solidarność Prawicy,UW,Samoobrona,PiS,PSL,PO,Komitet Wyborczy Alternatywa Ruch Społeczny,Komitet Wyborczy Polskiej Wspólnoty Narodowej,LPR,"Komitet Wyborczy Wyborców ""Mniejszość Niemiecka""",Komitet Wyborczy Polskiej Unii Gospodarczej,Komitet Wyborczy Polskiej Partii Socjalistycznej,"Komitet Wyborczy Wyborców ""Niemiecka Mniejszość Górnego Śląska"""
Polska,5342519,729207,404074,1327624,1236787,1168659,1651099,54266,2644.0,1025148.0,47230.0,7189.0,13459.0,8024.0
Powiat poznański,36134,3624,3291,7345,9026,5685,16334,210,,6388.0,,205.0,,
Poznań,98772,10060,12665,8981,32136,3899,48864,406,,16801.0,,440.0,,
Powiat średzki,9282,736,289,2980,976,1868,1653,61,21.0,999.0,,41.0,,
Powiat wrzesiński,12433,1111,453,2934,1456,2654,2787,80,30.0,1673.0,,40.0,,
Powiat śremski,10634,617,775,1917,869,1887,1706,50,28.0,1314.0,,31.0,,
Powiat koniński,12742,1611,414,7384,1307,5139,2851,122,30.0,1956.0,,77.0,,
Powiat gnieĽnieński,28551,4281,698,5020,2409,4192,4130,105,61.0,2999.0,,80.0,,
Powiat kolski,12978,902,313,5116,1206,6151,2290,63,30.0,1674.0,,49.0,,
Konin,16538,2128,1041,2500,2427,1675,3363,52,23.0,1565.0,,29.0,,
Powiat słupecki,8709,563,254,3042,553,3397,1567,47,17.0,1131.0,,36.0,,
Powiat turecki,12359,1352,421,4663,1156,2315,2591,169,31.0,1319.0,,61.0,,
Kalisz,22727,1542,1130,2785,2414,1742,5546,194,,3688.0,,46.0,,
Powiat jarociński,11624,1130,421,2560,748,3293,3085,70,,1445.0,,49.0,,
Powiat ostrzeszowski,7050,474,222,3007,558,4189,1027,55,,1389.0,,40.0,,
Powiat rawicki,10094,613,337,2478,592,2801,1701,82,,1385.0,,40.0,,
Powiat kościański,12648,876,600,3640,1211,2681,2498,108,,1812.0,,53.0,,
Powiat pleszewski,9238,598,417,3023,949,2880,1820,89,,1349.0,,49.0,,
Powiat ostrowski,28815,3002,979,6840,2872,6285,5499,186,,3988.0,,94.0,,
Powiat kępiński,7988,1070,254,2530,891,2134,2728,62,,1691.0,,46.0,,
Powiat leszczyński,7526,455,288,2855,519,1921,1297,59,,1390.0,,35.0,,
Leszno,13162,648,890,1328,1166,1038,3272,64,,2259.0,,30.0,,
Powiat kaliski,9562,670,209,6044,577,4565,1465,114,,2033.0,,55.0,,
Powiat krotoszyński,11965,742,688,3608,958,4693,3166,93,,1743.0,,47.0,,
Powiat gostyński,12697,1269,287,3867,704,3660,2348,85,,1960.0,,41.0,,
Powiat chodzieski,8696,461,273,1734,622,2554,1873,97,,894.0,,,,
Powiat pilski,23806,3092,1074,5166,2780,4671,5589,237,,3579.0,,,,
Powiat wolsztyński,10751,756,784,1865,763,2142,1287,71,,1312.0,,,,
Powiat nowotomyski,10300,1444,740,2551,1011,3115,2680,98,,1575.0,,,,
Powiat obornicki,9367,996,392,2220,975,1270,1944,84,,928.0,,,,
Powiat wągrowiecki,11385,693,337,3167,889,2966,2837,88,,1094.0,,,,
Powiat grodziski,6747,489,668,2405,552,2660,1163,57,,1295.0,,,,
Powiat szamotulski,14353,977,616,2793,1317,2597,3060,105,,2226.0,,,,
Powiat czarnkowsko-trzcianecki,13456,1467,828,3245,1742,1892,3395,107,,1523.0,,,,
Powiat złotowski,9359,963,815,3802,814,1626,2120,122,,2018.0,,,,
Powiat międzychodzki,6024,348,358,1215,404,1625,953,39,,613.0,,,,
Powiat częstochowski,21158,2166,761,5902,2298,6140,2810,233,,1809.0,,,128.0,
Powiat lubliniecki,7424,1568,532,3102,1518,1119,6724,85,,2184.0,,,64.0,
Powiat kłobucki,14365,1451,470,5108,1287,3197,1828,104,,1160.0,,,166.0,
Powiat myszkowski,12207,1110,338,2603,1456,2099,1958,97,,1114.0,,,57.0,
Częstochowa,46618,8843,3038,6248,10522,2891,12010,380,,5587.0,,,377.0,
Bytom,26808,3485,2605,3029,5523,1570,6918,318,,3001.0,,,244.0,1376.0
Gliwice,31473,4605,5210,3722,7857,1565,10024,305,,4463.0,,,66.0,1394.0
Powiat tarnogórski,16023,7435,2149,3205,4490,1172,6710,262,,2416.0,,,29.0,1534.0
Zabrze,26850,3114,2412,2909,4413,1774,6224,273,,2239.0,,,64.0,1133.0
Powiat gliwicki,12652,2991,1296,2748,2863,1628,5047,237,,1921.0,,,45.0,2587.0
Chorzów,17532,4750,1282,1748,4551,446,6179,384,,,,,,
Katowice,54130,16019,7306,6339,15378,2473,21307,987,,,,,,
Piekary Śląskie,7406,2746,572,1069,4767,270,2308,108,,,,,,
Ruda Śląska,21409,7631,1546,2522,4347,714,7338,702,,,,,,
Siemianowice Śląskie,11917,2356,901,1289,2419,356,4692,186,,,,,,
Mysłowice,12931,3866,818,1537,3039,521,3492,249,,,,,,
Świętochłowice,8050,1970,469,858,1398,223,3073,256,,,,,,
Powiat tyski,5808,3175,1304,1523,2582,667,3055,240,,,,,,
Tychy,21163,5436,2338,3077,6249,1562,7612,608,,,,,,
Bielsko-Biała,27389,6504,3606,4653,8215,1928,10523,257,,8074.0,,115.0,,
Powiat pszczyński,10945,2871,1161,3379,3273,2707,6915,199,,4361.0,,41.0,,
Powiat żywiecki,15854,9162,1705,4411,3802,5115,6674,249,,4625.0,,279.0,,
Powiat cieszyński,32286,4472,2318,4941,4165,2472,7407,195,,4554.0,,130.0,,
Powiat bielski,19751,5295,1734,4556,7909,3444,6741,231,,5652.0,,90.0,,
Powiat zawierciański,27585,1720,1223,4977,2027,4732,3538,271,,2319.0,,,192.0,
Jaworzno,18040,1600,855,1898,4109,1158,3236,241,,2507.0,,,56.0,
Powiat będziński,35663,2695,1780,4153,3145,1891,4721,306,,1526.0,,,147.0,
Dąbrowa Górnicza,33523,1660,1276,3080,3116,927,4134,348,,1513.0,,,163.0,
Sosnowiec,59656,4162,2436,5025,6228,2088,8005,516,,3246.0,,,170.0,
Powiat rybnicki,7972,2492,906,1761,2456,702,4471,231,,1223.0,266.0,61.0,,
Jastrzębie-Zdrój,17227,3170,936,2370,2310,1010,3681,263,,2315.0,134.0,52.0,,
Powiat raciborski,10357,1281,1016,1993,1795,1224,5715,175,,1194.0,3475.0,35.0,,
Powiat wodzisławski,20036,4297,2508,3987,3927,3158,9183,399,,2833.0,408.0,155.0,,
Żory,9686,1137,972,1572,1767,646,3552,139,,1070.0,71.0,37.0,,
Rybnik,18748,3056,2177,3017,6746,1527,8068,417,,2813.0,362.0,98.0,,
Powiat mikołowski,9947,2243,1383,1916,3480,1451,7546,300,,2523.0,174.0,179.0,,
Powiat gorzowski,8566,1012,525,2238,913,1113,1428,59,,833.0,,264.0,47.0,
Gorzów Wielkopolski,22151,2332,2093,3212,4589,1353,4834,103,,2690.0,,97.0,56.0,
Powiat krośnieński,9083,844,538,1988,538,815,1410,124,,586.0,,64.0,50.0,
Powiat strzelecko-drezdenecki,7068,593,525,1906,636,2091,921,51,,541.0,,148.0,37.0,
Powiat zielonogórski,13125,1565,647,2565,1026,1717,2409,124,,1551.0,,69.0,93.0,
Powiat nowosolski,18262,2796,899,4136,2614,3023,3690,124,,2363.0,,63.0,130.0,
Powiat żagański,13720,1163,707,2699,890,1616,2669,124,,1369.0,,27.0,76.0,
Powiat słubicki,6612,528,356,1589,535,1292,1140,51,,613.0,,278.0,38.0,
Powiat międzyrzecki,10020,749,750,1886,667,1642,1681,80,,920.0,,232.0,51.0,
Powiat sulęciński,3974,566,216,935,294,4628,637,35,,466.0,,40.0,19.0,
Powiat żarski,16424,1823,734,2595,1210,1180,2437,117,,1431.0,,50.0,80.0,
Powiat świebodziński,8803,1116,430,1674,943,1299,1669,49,,1168.0,,41.0,50.0,
Zielona Góra,22982,3608,2072,2534,2817,1613,5697,131,,2447.0,,61.0,72.0,
Powiat oleski,7403,591,614,2301,473,1298,2532,60,121.0,761.0,4151.0,,,
Powiat prudnicki,5976,493,453,2774,755,1000,2047,143,209.0,1700.0,2731.0,,,
Powiat kluczborski,7059,885,642,2531,1120,1682,2501,71,37.0,1618.0,2196.0,,,
Powiat krapkowicki,5179,553,447,885,477,282,1489,69,96.0,472.0,5612.0,,,
Powiat namysłowski,6106,446,244,2011,614,1612,1476,72,51.0,1220.0,194.0,,,
Powiat głubczycki,6241,907,432,2912,843,1261,1547,64,36.0,999.0,322.0,,,
Powiat opolski,9554,843,623,2217,1110,992,3378,125,147.0,1487.0,11209.0,,,
Powiat nyski,19897,2164,1042,9094,2990,3508,6012,192,132.0,3576.0,606.0,,,
Opole,21992,1622,2856,2043,4053,871,7593,171,94.0,2359.0,2142.0,,,
Powiat strzelecki,6636,730,375,1184,679,417,1712,75,58.0,827.0,7212.0,,,
Powiat kędzierzyńsko-kozielski,12261,1009,1065,1953,1647,620,3672,106,91.0,1837.0,5777.0,,,
Powiat brzeski,12474,1144,803,4331,1815,2259,3244,125,89.0,3718.0,188.0,,,
Powiat goleniowski,13126,728,689,2977,1380,1516,2414,81,,956.0,,,,
Powiat kamieński,8418,668,375,1685,712,654,1947,56,,597.0,,,,
Powiat pyrzycki,5683,446,406,2360,481,1070,901,30,,436.0,,,,
Powiat gryfiński,12729,900,502,3232,1078,1294,2151,85,,1605.0,,,,
Powiat policki,8691,822,996,1494,1340,457,2379,53,,723.0,,,,
Powiat myśliborski,10131,1075,1324,2798,746,888,1646,59,,1121.0,,,,
Powiat gryficki,11803,560,458,2711,1112,1722,1777,130,,978.0,,,,
Świnoujście,8403,476,457,867,1217,300,2120,31,,980.0,,,,
Powiat stargardzki,23726,1851,1345,5066,2252,1739,4522,161,,2047.0,,,,
Szczecin,68624,6843,7892,11560,17720,3070,22689,407,,10107.0,,,,
Powiat drawski,8512,719,421,4280,599,665,1781,61,,835.0,,,50.0,
