województwo,Blue,Red,Gray
BIAŁA PODLASKA,7793.0,1723,1954.0
BIAŁYSTOK,40580.0,13000,7207.0
BIELSKO-BIAŁA,22870.0,10523,10482.0
BYDGOSZCZ,40988.0,16262,12518.0
BYTOM,13123.0,6918,8028.0
CHEŁM,7795.0,3114,1774.0
CHORZÓW,6745.0,6179,6416.0
CZĘSTOCHOWA,25248.0,12010,12638.0
DĄBROWA GÓRNICZA,8636.0,4134,3447.0
ELBLĄG,11487.0,6548,2633.0
GDAŃSK,57150.0,57804,14317.0
GDYNIA,27491.0,31508,7116.0
GLIWICE,17607.0,10024,11580.0
GORZÓW WIELKOPOLSKI,11844.0,4834,4681.0
GRUDZIĄDZ,7925.0,4079,1983.0
JASTRZĘBIE-ZDRÓJ,8005.0,3681,4555.0
JAWORZNO,9672.0,3236,2752.0
JELENIA GÓRA,7936.0,3938,2770.0
KALISZ,10629.0,5546,2912.0
KATOWICE,24190.0,21307,24312.0
KIELCE,25751.0,9291,6184.0
KONIN,8167.0,3363,3273.0
KOSZALIN,13201.0,4729,3502.0
KRAKÓW,105597.0,60526,35962.0
KROSNO,7415.0,1990,2074.0
LEGNICA,9536.0,3671,2896.0
LESZNO,5791.0,3272,1632.0
LUBLIN,54455.0,17630,14226.0
MYSŁOWICE,5097.0,3492,4933.0
NOWY SĄCZ,9840.0,6521,4713.0
OLSZTYN,17844.0,8473,6056.0
OPOLE,9326.0,7593,6885.0
OSTROŁĘKA,6840.0,1768,1908.0
PIEKARY ŚLĄSKIE,6106.0,2308,3426.0
PIOTRKÓW TRYBUNALSKI,8745.0,3675,2186.0
POWIAT ALEKSANDROWSKI,7182.0,1445,1265.0
POWIAT AUGUSTOWSKI,8657.0,1384,1592.0
POWIAT BARTOSZYCKI,7630.0,1169,1654.0
POWIAT BEŁCHATOWSKI,14748.0,3637,2463.0
POWIAT BIALSKI,21671.0,2380,2531.0
POWIAT BIAŁOBRZESKI,5700.0,974,904.0
POWIAT BIAŁOGARDZKI,4726.0,1907,698.0
POWIAT BIAŁOSTOCKI,22917.0,3467,3732.0
POWIAT BIELSKI,21561.0,6741,7350.0
POWIAT BIELSKI,8897.0,1508,1521.0
POWIAT BIESZCZADZKI,5717.0,1414,1524.0
POWIAT BIŁGORAJSKI,21053.0,2094,2291.0
POWIAT BOCHEŃSKI,18208.0,4011,2906.0
POWIAT BOLESŁAWIECKI,9399.0,2404,2216.0
POWIAT BRANIEWSKI,5033.0,1338,1167.0
POWIAT BRODNICKI,9854.0,2704,1370.0
POWIAT BRZESKI,14377.0,4849,2728.0
POWIAT BRZESKI,12123.0,3244,2349.0
POWIAT BRZOZOWSKI,10907.0,1241,2829.0
POWIAT BUSKI,13154.0,1968,1492.0
POWIAT BYDGOSKI,8742.0,2212,1789.0
POWIAT BYTOWSKI,7351.0,4595,1896.0
POWIAT BĘDZIŃSKI,10715.0,4721,4928.0
POWIAT CHEŁMIŃSKI,6279.0,1020,783.0
POWIAT CHEŁMSKI,10159.0,1244,1229.0
POWIAT CHODZIESKI,5804.0,1873,831.0
POWIAT CHOJNICKI,10571.0,4122,2357.0
POWIAT CHOSZCZEŃSKI,5554.0,1189,859.0
POWIAT CHRZANOWSKI,12174.0,6555,4279.0
POWIAT CIECHANOWSKI,11451.0,2411,2165.0
POWIAT CIESZYŃSKI,16132.0,7407,7115.0
POWIAT CZARNKOWSKO-TRZCIANECKI,8402.0,3395,2402.0
POWIAT CZĘSTOCHOWSKI,16149.0,2810,3288.0
POWIAT CZŁUCHOWSKI,6364.0,1416,1188.0
POWIAT DRAWSKI,6379.0,1781,1251.0
POWIAT DZIAŁDOWSKI,7779.0,1509,1155.0
POWIAT DZIERŻONIOWSKI,9261.0,4319,2527.0
POWIAT DĄBROWSKI,10444.0,2094,1081.0
POWIAT DĘBICKI,21555.0,3001,3737.0
POWIAT ELBLĄSKI,5538.0,1369,872.0
POWIAT EŁCKI,7857.0,2249,1433.0
POWIAT GARWOLIŃSKI,20720.0,2884,1795.0
POWIAT GDAŃSKI,7135.0,5731,1845.0
POWIAT GIŻYCKI,8354.0,3119,1967.0
POWIAT GLIWICKI,9160.0,5047,7156.0
POWIAT GNIEĽNIEŃSKI,14620.0,4130,5225.0
POWIAT GOLENIOWSKI,6829.0,2414,1498.0
POWIAT GOLUBSKO-DOBRZYŃSKI,5888.0,935,800.0
POWIAT GORLICKI,14190.0,5635,3453.0
POWIAT GORZOWSKI,5097.0,1428,1907.0
POWIAT GOSTYNIŃSKI,7781.0,846,812.0
POWIAT GOSTYŃSKI,10191.0,2348,1682.0
POWIAT GRAJEWSKI,8945.0,673,644.0
POWIAT GRODZISKI,8284.0,5314,1729.0
POWIAT GRODZISKI,6912.0,1163,1214.0
POWIAT GRUDZIĄDZKI,5293.0,656,508.0
POWIAT GRYFICKI,6523.0,1777,1148.0
POWIAT GRYFIŃSKI,7209.0,2151,1487.0
POWIAT GRÓJECKI,20073.0,2053,1911.0
POWIAT GÓROWSKI,4175.0,966,762.0
POWIAT GŁOGOWSKI,8211.0,2810,3142.0
POWIAT GŁUBCZYCKI,6015.0,1547,1761.0
POWIAT HAJNOWSKI,2985.0,708,777.0
POWIAT HRUBIESZOWSKI,15027.0,749,1431.0
POWIAT INOWROCŁAWSKI,16439.0,3649,4192.0
POWIAT IŁAWSKI,9931.0,2512,2320.0
POWIAT JANOWSKI,11667.0,716,1751.0
POWIAT JAROCIŃSKI,8046.0,3085,1670.0
POWIAT JAROSŁAWSKI,23522.0,2718,5001.0
POWIAT JASIELSKI,18394.0,3082,7471.0
POWIAT JAWORSKI,6297.0,1467,1148.0
POWIAT JELENIOGÓRSKI,5338.0,2269,1717.0
POWIAT JĘDRZEJOWSKI,13742.0,1553,1558.0
POWIAT KALISKI,13219.0,1465,1048.0
POWIAT KAMIENNOGÓRSKI,3524.0,1507,1375.0
POWIAT KAMIEŃSKI,3648.0,1947,1099.0
POWIAT KARTUSKI,14383.0,11023,1898.0
POWIAT KAZIMIERSKI,8119.0,503,414.0
POWIAT KIELECKI,26122.0,2819,2965.0
POWIAT KLUCZBORSKI,6951.0,2501,3831.0
POWIAT KOLBUSZOWSKI,9323.0,1214,4686.0
POWIAT KOLNEŃSKI,7890.0,599,666.0
POWIAT KOLSKI,14147.0,2290,1357.0
POWIAT KONECKI,8946.0,1991,2203.0
POWIAT KONIŃSKI,15786.0,2851,2254.0
POWIAT KOSZALIŃSKI,7125.0,1187,1025.0
POWIAT KOZIENICKI,10455.0,1904,982.0
POWIAT KOŁOBRZESKI,7924.0,3257,1638.0
POWIAT KOŚCIAŃSKI,9344.0,2498,1637.0
POWIAT KOŚCIERSKI,7588.0,5746,1950.0
POWIAT KRAKOWSKI,35240.0,12696,5642.0
POWIAT KRAPKOWICKI,2116.0,1489,6777.0
POWIAT KRASNOSTAWSKI,13859.0,1310,1679.0
POWIAT KRAŚNICKI,20221.0,2021,2423.0
POWIAT KROTOSZYŃSKI,11002.0,3166,1570.0
POWIAT KROŚNIEŃSKI,3927.0,1410,1620.0
POWIAT KROŚNIEŃSKI,19291.0,3102,4314.0
POWIAT KUTNOWSKI,16382.0,2079,2266.0
POWIAT KWIDZYŃSKI,5863.0,4026,1480.0
POWIAT KĘDZIERZYŃSKO-KOZIELSKI,6057.0,3672,8048.0
POWIAT KĘPIŃSKI,7246.0,2728,1432.0
POWIAT KĘTRZYŃSKI,5866.0,2114,1461.0
POWIAT KŁOBUCKI,10752.0,1828,2191.0
POWIAT KŁODZKI,18597.0,5939,5182.0
POWIAT LEGIONOWSKI,11598.0,4376,2238.0
POWIAT LEGNICKI,6164.0,1218,866.0
POWIAT LESZCZYŃSKI,6685.0,1297,837.0
POWIAT LEŻAJSKI,12281.0,1226,6195.0
POWIAT LIDZBARSKI,4605.0,1938,688.0
POWIAT LIMANOWSKI,18175.0,9046,5111.0
POWIAT LIPNOWSKI,6894.0,1224,1009.0
POWIAT LIPSKI,7209.0,335,527.0
POWIAT LUBACZOWSKI,11802.0,696,1860.0
POWIAT LUBARTOWSKI,16642.0,1510,2250.0
POWIAT LUBAŃSKI,4920.0,1645,1072.0
POWIAT LUBELSKI,29928.0,2078,2233.0
POWIAT LUBIŃSKI,8848.0,5504,2700.0
POWIAT LUBLINIECKI,7923.0,6724,2249.0
POWIAT LWÓWECKI,4130.0,1154,1099.0
POWIAT LĘBORSKI,6327.0,3192,1450.0
POWIAT MAKOWSKI,9286.0,1333,652.0
POWIAT MALBORSKI,9618.0,3842,2345.0
POWIAT MIECHOWSKI,9068.0,1604,807.0
POWIAT MIELECKI,21597.0,4192,3917.0
POWIAT MIKOŁOWSKI,9370.0,7546,4279.0
POWIAT MILICKI,4423.0,1595,887.0
POWIAT MIĘDZYCHODZKI,3857.0,953,745.0
POWIAT MIĘDZYRZECKI,5115.0,1681,1862.0
POWIAT MIŃSKI,23492.0,6687,4001.0
POWIAT MOGILEŃSKI,6371.0,791,979.0
POWIAT MONIECKI,7399.0,653,1187.0
POWIAT MRĄGOWSKI,4831.0,1347,1337.0
POWIAT MYSZKOWSKI,7272.0,1958,1602.0
POWIAT MYŚLENICKI,16876.0,5999,4786.0
POWIAT MYŚLIBORSKI,5553.0,1646,2458.0
POWIAT MŁAWSKI,10009.0,1292,2418.0
POWIAT NAKIELSKI,10100.0,1631,2090.0
POWIAT NAMYSŁOWSKI,5457.0,1476,1007.0
POWIAT NIDZICKI,3611.0,637,692.0
POWIAT NIŻAŃSKI,10069.0,1432,1934.0
POWIAT NOWODWORSKI,4212.0,1423,570.0
POWIAT NOWODWORSKI,10220.0,1870,1303.0
POWIAT NOWOMIEJSKI,6922.0,812,520.0
POWIAT NOWOSOLSKI,12136.0,3690,4012.0
POWIAT NOWOSĄDECKI,27379.0,11470,12418.0
POWIAT NOWOTARSKI,24931.0,10553,7309.0
POWIAT NOWOTOMYSKI,8252.0,2680,2282.0
POWIAT NYSKI,19168.0,6012,4136.0
POWIAT OBORNICKI,5393.0,1944,1472.0
POWIAT OLECKO-GOŁDAPSKI,4935.0,2551,980.0
POWIAT OLESKI,4833.0,2532,5537.0
POWIAT OLEŚNICKI,10459.0,3841,2357.0
POWIAT OLKUSKI,13589.0,3907,3041.0
POWIAT OLSZTYŃSKI,9417.0,2681,2228.0
POWIAT OPATOWSKI,10033.0,536,920.0
POWIAT OPOCZYŃSKI,13905.0,1616,2064.0
POWIAT OPOLSKI,5806.0,3378,12947.0
POWIAT OPOLSKI,11808.0,1076,929.0
POWIAT OSTROWIECKI,12604.0,2556,1934.0
POWIAT OSTROWSKI,19985.0,5499,4261.0
POWIAT OSTROWSKI,13076.0,1279,2395.0
POWIAT OSTROŁĘCKI,14228.0,869,2555.0
POWIAT OSTRZESZOWSKI,9143.0,1027,791.0
POWIAT OSTRÓDZKI,9256.0,3066,2565.0
POWIAT OTWOCKI,21022.0,5500,3183.0
POWIAT OŁAWSKI,7923.0,3364,2872.0
POWIAT OŚWIĘCIMSKI,18862.0,7649,6436.0
POWIAT PABIANICKI,15225.0,5529,2756.0
POWIAT PAJĘCZAŃSKI,9071.0,891,831.0
POWIAT PARCZEWSKI,7938.0,579,547.0
POWIAT PIASECZYŃSKI,15668.0,6680,3496.0
POWIAT PILSKI,16196.0,5589,4403.0
POWIAT PIOTRKOWSKI,16171.0,2020,1485.0
POWIAT PISKI,6585.0,1498,886.0
POWIAT PIŃCZOWSKI,6683.0,870,780.0
POWIAT PLESZEWSKI,8201.0,1820,1153.0
POWIAT PODDĘBICKI,7785.0,701,690.0
