,Centrum,Dom Ojczysty,LPR,NOP,Inicjatywa RP,PO,JKM,PPP,PSL,Godność i Praca,PN,PiS,Ruch Patriotyczny,Samoobrona,SDPL,SLD,Stronnictwo Pracy,Ratownicy,OgólnoPL-KO
Polska,21893.0,32863.0,940762,7376.0,11914.0,2849259,185885.0,91266,821656,8353.0,34127,3185714,124038.0,1347355.0,459380,1335257,1019.0,982.0,16251.0
O_Kalisz,869.0,,21060,,561.0,61255,3983.0,1790,30967,662.0,608,56771,3279.0,46683.0,12941,36731,,,
O_Radom,1675.0,,18146,274.0,436.0,35134,3291.0,1152,29868,,770,57577,2052.0,43676.0,5911,22266,,,237.0
O_Gdynia,1849.0,1700.0,28175,663.0,,120766,5629.0,2269,10974,,1002,98994,2793.0,34645.0,10776,41395,,,1176.0
O_Wałbrzych,,,14220,461.0,,50871,3086.0,1621,12766,,602,43564,1562.0,25995.0,10369,27189,,,504.0
O_Legnica,891.0,1371.0,19548,598.0,,69138,4694.0,2102,10909,,914,70146,2568.0,35822.0,9329,43235,,,
O_Gliwice,,,12373,,283.0,76680,3955.0,1990,4507,735.0,598,65835,1912.0,16130.0,8240,27070,,,
O_Katowice,,,16484,,,113953,5889.0,3739,4276,1063.0,1086,103827,2614.0,17177.0,15296,34837,,,
O_Piotrków_Trybunalski,1113.0,,20185,380.0,705.0,34159,3240.0,1942,24065,418.0,738,51840,,48034.0,6290,24967,,,839.0
O_Sieradz,,,19062,,1801.0,43168,,2387,35061,,1189,61376,4486.0,62787.0,7526,42646,,,874.0
O_Toruń,1029.0,1544.0,22771,435.0,478.0,53221,2732.0,1942,20130,,721,64723,1716.0,53077.0,15845,33608,,,474.0
O_Opole,,,18204,506.0,,64683,4306.0,1860,12778,,741,54779,3341.0,28244.0,7482,27718,,,
O_Nowy_Sącz,,,31503,,,54395,2496.0,1458,19916,,612,92246,2804.0,21056.0,3033,14889,,,
O_Warszawa_I,758.0,947.0,44376,429.0,205.0,250981,20452.0,4072,7098,473.0,1715,227153,8051.0,17771.0,49361,87477,,,419.0
O_Bydgoszcz,1009.0,773.0,19121,504.0,543.0,59334,3979.0,4594,17578,,537,70464,4274.0,33363.0,8872,53211,1019.0,,1177.0
O_Krosno,984.0,1123.0,37241,,,42189,2714.0,1373,26121,,631,92319,2072.0,32339.0,6227,25030,,,
O_Płock,,,15969,393.0,1409.0,33157,2429.0,1397,36433,,438,55703,3502.0,41056.0,6752,27485,,,
O_Bielsko-Biała,,,19905,,,66895,3984.0,1860,8596,,543,89980,1759.0,16622.0,10042,23340,,,1140.0
O_Kielce,2588.0,1593.0,22486,,762.0,56133,4579.0,3128,51610,,995,86670,5730.0,62851.0,14800,44961,,,1095.0
O_Koszalin,,,8083,,,38174,2156.0,1417,9217,,491,35669,1098.0,39966.0,8273,24343,,,
O_Lublin,847.0,4163.0,49044,480.0,615.0,67564,4982.0,1892,45066,,1838,102403,3991.0,57881.0,16695,32086,,,914.0
O_Zielona_Góra,,1502.0,20638,,,65502,4239.0,2169,21244,,646,61781,2134.0,30868.0,9506,43780,,,1120.0
O_Kraków,,,23964,,,128440,7910.0,3889,13168,443.0,685,156754,3431.0,21215.0,14951,33480,,,
O_Warszawa_II,,1987.0,23276,,,89120,6521.0,1624,17326,,823,104532,8330.0,23276.0,9445,22761,,,707.0
O_Poznań,673.0,,16479,,,115891,5693.0,1969,6269,,539,77985,1606.0,17426.0,16519,31973,,,801.0
O_Chełm,,,35830,753.0,,33091,2644.0,1453,53160,,1706,60405,3145.0,60435.0,9612,24142,,,881.0
O_Łódź,831.0,,22474,582.0,789.0,71463,6919.0,3449,6275,,835,72435,4951.0,25382.0,16807,41511,,982.0,620.0
O_Konin,,1947.0,13681,323.0,,40948,3672.0,1753,22210,544.0,520,42936,2116.0,45136.0,9505,28503,,,696.0
O_Częstochowa,,,11148,,413.0,45397,2998.0,1729,10450,475.0,689,50709,1929.0,25141.0,8684,19540,,,
O_Sosnowiec,,,15349,,,57562,5947.0,3826,7586,1339.0,800,51355,2431.0,,14406,44738,,,656.0
O_Piła,,,16271,,,54063,2948.0,1716,21111,,681,37036,1994.0,32272.0,12785,34622,,,
O_Gdańsk,1262.0,1941.0,19534,,,138989,4998.0,2270,9493,,863,89715,2463.0,23429.0,13429,31508,,,802.0
O_Rzeszów,,2868.0,52776,,541.0,65502,5370.0,1876,41302,613.0,1190,154001,3619.0,31807.0,8694,29590,,,
O_Chrzanów,,,23015,,,43816,2915.0,1575,12132,,491,69903,1868.0,17060.0,6878,17200,,,
O_Elbląg,768.0,,9289,,,39052,1961.0,1439,14980,,560,36355,1469.0,29404.0,5929,20005,,,
O_Olsztyn,1139.0,,16077,,,49698,3232.0,1600,19484,,559,46619,1623.0,24349.0,6373,29476,,,
O_Tarnów,1361.0,1270.0,28160,,,45176,3597.0,1626,20809,,328,75578,1472.0,22006.0,4900,13181,,,627.0
O_Szczecin,,1127.0,18834,,,86900,6110.0,3249,11819,,1080,71589,,35321.0,16956,45707,,,
O_Rybnik,1169.0,,15741,,,71152,3081.0,2132,5608,606.0,618,70401,1368.0,17170.0,5743,26187,,,
O_Białystok,,3993.0,39309,,1003.0,52693,3929.0,4130,28984,457.0,1182,98314,8898.0,41996.0,13191,42525,,,
O_Siedlce,,1494.0,34874,,1370.0,37473,3237.0,1407,48548,,1618,75595,4712.0,55818.0,5560,21581,,,492.0
O_Wrocław,1078.0,1520.0,26087,595.0,,125481,9388.0,2400,11762,525.0,945,99677,4875.0,32669.0,15447,38763,,,
