,Komitet Wyborczy Ruch Patriotyczny,Komitet Wyborczy Polska Partia Pracy,LPR,Komitet Wyborczy Partii Demokratycznej-demokraci.pl,Komitet Wyborczy Socjaldemokracji Polskiej,PiS,SLD,PO,Komitet Wyborczy Polskiej Partii Narodowej,PSL,Komitet Wyborczy Centrum,Komitet Wyborczy Platformy Janusza Korwin-Mikke,Komitet Wyborczy Wyborców-Ogólnopolska Koalicja Obywatelska,Komitet Wyborczy Polskiej Konfederacji - Godność i Praca,Samoobrona,Komitet Wyborczy Partii Inicjatywa RP,Komitet Wyborczy Dom Ojczysty,Komitet Wyborczy Narodowego Odrodzenia Polski,Komitet Wyborczy Stronnictwa Pracy,Komitet Wyborczy Wyborców Społeczni Ratownicy,"Komitet Wyborczy Wyborców ""Mniejszość Niemiecka""","Komitet Wyborczy Wyborców ""Mniejszości Niemieckiej Śląska"""
Polska,124038.0,91266,940762,289276.0,459380,3185714,1335257,2849259,34127,821656,21893.0,185885.0,16251.0,8353.0,1347355.0,11914.0,32863.0,7376.0,1019.0,982.0,34469.0,5581.0
ostrowski,562.0,336,3484,522.0,1698,11700,6804,9578,86,5560,71.0,646.0,,100.0,7013.0,128.0,,,,,,
Kalisz,346.0,266,1993,747.0,3584,10003,4940,8567,67,1154,74.0,745.0,,64.0,2943.0,40.0,,,,,,
pleszewski,132.0,135,993,311.0,918,3531,1718,2642,22,2122,18.0,234.0,,54.0,3240.0,38.0,,,,,,
jarociński,182.0,131,1177,352.0,697,5285,2132,2910,53,2810,56.0,232.0,,47.0,2838.0,30.0,,,,,,
gostyński,284.0,114,1503,172.0,706,3589,2439,3467,36,1875,287.0,203.0,,82.0,4338.0,24.0,,,,,,
kościański,250.0,123,1370,280.0,845,2946,2179,7437,45,1329,29.0,306.0,,46.0,3997.0,27.0,,,,,,
krotoszyński,157.0,115,1478,193.0,1110,3687,2310,6265,36,3371,148.0,266.0,,41.0,3807.0,28.0,,,,,,
kępiński,138.0,114,1194,159.0,523,3476,1413,3773,71,1830,34.0,195.0,,39.0,2512.0,53.0,,,,,,
rawicki,222.0,77,1651,279.0,502,2028,2349,3225,44,1806,16.0,226.0,,55.0,2879.0,32.0,,,,,,
Leszno,342.0,102,2240,396.0,947,3562,4252,6769,20,310,56.0,364.0,,26.0,1254.0,16.0,,,,,,
kaliski,262.0,113,1422,270.0,716,3317,3259,1829,79,3699,13.0,224.0,,52.0,6214.0,48.0,,,,,,
leszczyński,307.0,81,1376,122.0,403,1785,1691,2293,26,1360,44.0,198.0,,26.0,2813.0,30.0,,,,,,
ostrzeszowski,95.0,83,1179,118.0,292,1862,1245,2500,23,3741,23.0,144.0,,30.0,2835.0,67.0,,,,,,
białobrzeski,51.0,37,735,63.0,99,2198,660,1170,57,2214,25.0,106.0,12.0,,2497.0,12.0,,12.0,,,,
Radom,642.0,458,6476,1390.0,3323,27307,8726,18042,298,3591,451.0,1739.0,53.0,,6188.0,109.0,,91.0,,,,
zwoleński,202.0,46,830,82.0,141,1934,1337,1031,27,2120,33.0,95.0,21.0,,3399.0,14.0,,19.0,,,,
lipski,114.0,32,501,44.0,153,756,3794,825,17,2486,25.0,106.0,10.0,,2571.0,19.0,,12.0,,,,
kozienicki,175.0,90,1688,129.0,296,4048,1599,2675,49,3035,98.0,242.0,26.0,,5037.0,44.0,,21.0,,,,
przysuski,148.0,56,1143,117.0,171,2620,665,1409,24,2010,657.0,164.0,21.0,,5059.0,32.0,,16.0,,,,
grójecki,299.0,108,2126,225.0,428,5484,1967,3048,160,8544,113.0,262.0,29.0,,6290.0,36.0,,31.0,,,,
radomski,312.0,270,3871,305.0,922,10637,2646,4679,112,5076,179.0,478.0,40.0,,9248.0,155.0,,60.0,,,,
szydłowiecki,109.0,55,776,89.0,378,2593,872,2255,26,792,94.0,99.0,25.0,,3387.0,15.0,,12.0,,,,
słupski,187.0,164,1614,337.0,1157,3676,2840,3767,86,2521,110.0,407.0,98.0,,3782.0,,235.0,40.0,,,,
Gdynia,710.0,567,5425,2075.0,2698,29178,13319,39719,204,547,293.0,1759.0,338.0,,3099.0,,308.0,160.0,,,,
kościerski,156.0,131,1724,437.0,314,5360,1507,6846,52,641,54.0,198.0,49.0,,2492.0,,147.0,57.0,,,,
wejherowski,455.0,333,4619,1018.0,1075,18763,4221,20670,155,1440,316.0,888.0,147.0,,3858.0,,309.0,126.0,,,,
Słupsk,253.0,175,2724,631.0,2190,8491,5164,7524,131,1106,88.0,559.0,90.0,,2743.0,,169.0,50.0,,,,
Statki,0.0,0,1,5.0,1,5,1,12,0,0,0.0,5.0,0.0,,0.0,,0.0,0.0,,,,
lęborski,127.0,125,1610,223.0,527,3671,2636,5097,58,502,74.0,270.0,68.0,,2379.0,,76.0,33.0,,,,
człuchowski,139.0,140,808,286.0,844,2243,2100,3053,57,1334,49.0,235.0,66.0,,2984.0,,59.0,26.0,,,,
bytowski,124.0,128,1634,229.0,547,4153,3145,5657,77,527,230.0,262.0,70.0,,3248.0,,60.0,33.0,,,,
Statk,0.0,0,1,,1,5,1,12,0,0,0.0,5.0,0.0,,0.0,,0.0,0.0,,,,
pucki,173.0,116,1369,293.0,388,6564,1706,10041,49,575,64.0,333.0,67.0,,1721.0,,118.0,40.0,,,,
kartuski,239.0,173,3862,334.0,457,9422,1601,12118,69,786,60.0,360.0,92.0,,3992.0,,127.0,68.0,,,,
chojnicki,230.0,217,2785,287.0,578,7468,3155,6262,64,995,511.0,353.0,91.0,,4347.0,,92.0,30.0,,,,
kłodzki,541.0,385,3093,779.0,1718,10179,5076,12387,157,7291,,783.0,128.0,,6333.0,,,86.0,,,,
wałbrzyski,337.0,415,3022,877.0,5083,11001,7433,14546,173,2012,,696.0,161.0,,5334.0,,,107.0,,,,
ząbkowicki,164.0,155,1597,256.0,579,3543,3239,3698,57,1562,,286.0,36.0,,3999.0,,,35.0,,,,
świdnicki,268.0,409,3608,876.0,2152,12268,5438,13098,142,992,,829.0,86.0,,5611.0,,,125.0,,,,
dzierżoniowski,252.0,257,2900,568.0,837,6573,6003,7142,73,909,,492.0,93.0,,4718.0,,,108.0,,,,
lubański,125.0,122,1529,486.0,460,3706,2640,3397,52,811,54.0,260.0,,,2313.0,,97.0,65.0,,,,
