,SLD,LPR Rodzin,Komitet Wyborczy Partii Kobiet,PO,Komitet Wyborczy Polska Partia Pracy,PSL,PiS,Komitet Wyborczy Samoobrona Patriotyczna,Samoobrona,"Komitet Wyborczy Wyborców ""Mniejszość Niemiecka"""
Polska,2122981,209171,45121.0,6701010,160476,1437638,5183477,2531.0,247335,32462.0
O_Kalisz,65221,4847,,149053,4653,51750,102266,,8445,
O_Radom,25451,4253,,80435,2642,42789,121685,,7584,
O_Gdynia,62694,6886,,257010,4697,30798,133711,,7840,
O_Wałbrzych,42679,2827,,125854,3394,21063,71143,,4318,
O_Legnica,72378,4536,,173820,3921,26710,117165,,6029,
O_Gliwice,43679,3211,,163655,3315,15244,97540,,2706,
O_Katowice,57084,4530,,231517,7524,15398,146704,,2725,
O_Piotrków_Trybunalski,36055,3685,,81532,3246,39889,120944,,6631,
O_Sieradz,53639,4683,5579.0,116485,3536,53730,134384,,10351,
O_Toruń,72028,3458,,154224,4186,44602,105056,,9175,
O_Opole,41250,4722,,171683,3341,24392,84295,,6395,32462.0
O_Nowy_Sącz,19057,3931,,85668,1997,30636,152960,,3653,
O_Warszawa_I,145072,14264,13992.0,618942,5518,26678,316977,,4540,
O_Bydgoszcz,79619,4482,,184705,5030,36476,101436,,7154,
O_Krosno,30399,4933,,96748,3476,42786,145913,,5973,
O_Płock,34528,3048,,90690,2711,60837,109232,,5935,
O_Bielsko-Biała,44148,3942,,143989,4637,22820,122081,,3146,
O_Kielce,66646,4721,4346.0,134849,4545,71034,188556,,7874,
O_Koszalin,43331,2560,,113096,2764,21162,53161,,10440,
O_Lublin,52680,9602,4971.0,147852,3926,62983,208323,2531.0,8836,
O_Zielona_Góra,69523,5664,,185534,5219,33058,88563,,6654,
O_Kraków,54284,6872,4832.0,265821,9349,23493,193270,,3483,
O_Warszawa_II,36532,6472,,208034,3744,38024,164120,,3656,
O_Poznań,56547,4439,,262322,3054,24383,94187,,2684,
O_Chełm,36917,7371,,84691,3922,68114,138882,,11603,
O_Łódź,75125,4780,7259.0,193124,3205,15395,117716,,6150,
O_Konin,51896,4107,,101722,4704,41153,87030,,7033,
O_Częstochowa,37741,3968,,102606,3479,25046,78976,,3912,
O_Sosnowiec,70378,3777,,145755,5068,16381,81360,,3018,
O_Piła,58960,2889,,125036,2756,37706,64870,,6352,
O_Gdańsk,50019,6351,,258073,3804,20676,127959,,5622,
O_Rzeszów,43121,9062,,136670,4355,54843,237977,,5335,
O_Chrzanów,28632,4064,,97517,2616,24114,108148,,2585,
O_Elbląg,35584,3220,,99946,2639,26326,55948,,6929,
O_Olsztyn,42090,3898,,135407,2740,37744,72259,,5093,
O_Tarnów,20609,4399,,90638,2453,31599,128391,,3234,
O_Szczecin,74600,5834,,214852,4031,26839,105523,,7150,
O_Rybnik,36309,3045,,134945,3905,12071,109748,,2891,
O_Białystok,67891,6634,4142.0,149229,2835,42158,178988,,9303,
O_Siedlce,30790,6555,,91401,2844,69805,158061,,8686,
O_Wrocław,57795,6649,,295880,4695,26933,157969,,6212,
