województwo,Blue,Red,Gray
DOLNOŚLĄSKIE,112293.0,258411.0,9268.0
KUJAWSKO-POMORSKIE,81480.0,189083.0,6528.0
LUBELSKIE,82774.0,110958.0,9038.0
MAZOWIECKIE,88684.0,103465.0,6023.0
MAŁOPOLSKIE,155904.0,277108.0,17533.0
OPOLSKIE,13077.0,44294.0,2962.0
PODKARPACKIE,43689.0,57245.0,2895.0
PODLASKIE,47200.0,84640.0,4776.0
POMORSKIE,105374.0,264119.0,8999.0
WARMIŃSKO-MAZURSKIE,41292.0,97745.0,3952.0
WIELKOPOLSKIE,106567.0,279374.0,9006.0
ZACHODNIOPOMORSKIE,69555.0,170431.0,8393.0
ŁÓDZKIE,112676.0,250170.0,19268.0
ŚLĄSKIE,199356.0,400501.0,20402.0
ŚWIĘTOKRZYSKIE,41186.0,57820.0,3776.0
