,Komitet Wyborczy Polska Partia Pracy,Komitet Wyborczy Liga Polskich Rodzin,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Platforma Obywatelska RP,Komitet Wyborczy Polskiego Stronnictwa Ludowego,Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,"Komitet Wyborczy Wyborców ""Mniejszość Niemiecka""",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,Komitet Wyborczy Partii Kobiet,Komitet Wyborczy Samoobrona Patriotyczna
Polska,160476,209171,5183477,6701010,1437638,247335,32462.0,2122981,45121.0,2531.0
ostrowski,808,790,18709,24909,7265,1487,,10878,,
Kalisz,454,571,13447,21934,2448,396,,10671,,
pleszewski,312,253,5996,7026,4275,577,,3329,,
jarociński,375,246,7596,9919,3960,496,,4222,,
gostyński,393,319,6767,9665,3873,701,,4784,,
kościański,437,265,6866,13839,3742,672,,4306,,
krotoszyński,346,320,7649,11557,4883,769,,4049,,
kępiński,278,244,6650,7619,2989,530,,2683,,
rawicki,269,300,4421,9112,3246,580,,4018,,
Leszno,225,616,5793,16359,1020,218,,6090,,
kaliski,317,326,9331,5285,5405,948,,5058,,
leszczyński,209,313,4307,6662,3210,495,,2659,,
ostrzeszowski,230,284,4734,5167,5434,576,,2474,,
białobrzeski,114,137,5378,2480,2443,596,,616,,
Radom,944,1644,42449,40485,5631,751,,12359,,
zwoleński,122,193,4500,1874,4111,878,,909,,
lipski,89,141,3609,2081,3034,719,,1569,,
kozienicki,212,332,10738,7366,2996,873,,1728,,
przysuski,162,280,8591,2779,3244,752,,1029,,
grójecki,371,514,14393,8240,11431,1482,,2840,,
radomski,524,802,25624,11756,8017,1259,,3439,,
szydłowiecki,104,210,6403,3374,1882,274,,962,,
słupski,410,416,6893,14893,3090,896,,5137,,
Gdynia,936,1505,32689,78816,2998,593,,17227,,
kościerski,274,328,9081,12476,1764,720,,2102,,
wejherowski,700,1178,22991,41636,4765,991,,7157,,
Słupsk,352,629,10494,22726,1742,539,,8561,,
lęborski,262,356,5979,12655,1697,462,,3629,,
człuchowski,289,273,3459,8377,2322,558,,5724,,
bytowski,272,364,6718,11495,3300,778,,3503,,
pucki,337,376,7895,17370,2845,417,,2747,,
m,0,0,9,101,5,0,,7,,
kartuski,444,928,16355,19774,3793,1025,,2595,,
chojnicki,421,533,11148,16691,2477,861,,4305,,
kłodzki,677,766,16600,29711,8447,1089,,7655,,
wałbrzyski,1011,617,16504,35799,4233,854,,14607,,
ząbkowicki,301,257,7501,10189,2559,703,,3914,,
świdnicki,866,735,18873,30784,3852,958,,9049,,
dzierżoniowski,539,452,11665,19371,1972,714,,7454,,
lubański,238,230,5609,9077,2136,345,,4350,,
Legnica,371,673,13033,20306,1784,372,,8958,,
złotoryjski,188,255,4895,6859,1263,350,,2889,,
głogowski,354,422,11922,14988,1929,736,,8068,,
bolesławiecki,337,419,9306,15502,2176,566,,5774,,
zgorzelecki,372,337,10308,17301,1684,466,,6918,,
legnicki,250,238,5682,7661,3101,416,,2410,,
jeleniogórski,298,253,5746,13279,1595,279,,4553,,
lwówecki,174,247,4342,7165,2302,279,,2569,,
jaworski,214,269,6749,7275,1701,380,,2799,,
lubiński,335,387,16826,17356,2595,544,,8802,,
kamiennogórski,225,158,4704,8169,1082,233,,3040,,
Jelenia Góra,324,410,9345,21626,1704,354,,6890,,
polkowicki,241,238,8698,7256,1658,709,,4358,,
Bytom,765,722,21268,33777,2879,533,,10569,,
Gliwice,799,863,23291,47687,3984,563,,12543,,
Zabrze,777,609,18834,34357,2288,601,,10148,,
tarnogórski,501,574,19108,27854,3047,525,,5969,,
gliwicki,473,443,15039,19980,3046,484,,4450,,
Chorzów,789,597,12105,27358,1205,296,,5898,,
Katowice,2927,1463,43877,83805,5099,836,,19233,,
Piekary Śląskie,297,212,10718,10674,742,131,,2337,,
Ruda Śląska,937,471,22366,27598,1761,380,,7103,,
Siemianowice Śląskie,514,311,8614,16705,771,194,,4324,,
bieruńsko-lędziński,350,233,11306,9343,760,187,,1852,,
Mysłowice,473,400,11612,13933,996,208,,6333,,
Świętochłowice,417,220,6110,11096,517,140,,2454,,
Tychy,820,623,19996,31005,3547,353,,7550,,
rawski,199,165,7575,3706,4581,574,,1606,,
Skierniewice,251,288,6925,9694,1753,194,,3533,,
tomaszowski,544,758,20107,15172,5546,1096,,7021,,
piotrkowski,291,444,15584,6129,5898,1226,,2648,,
skierniewicki,166,143,6072,2103,4136,565,,932,,
radomszczański,393,474,15856,12672,6184,708,,4944,,
bełchatowski,699,685,21690,12591,3947,854,,5358,,
opoczyński,311,299,14378,5270,5955,1005,,3699,,
Piotrków Trybunalski,392,429,12757,14195,1889,409,,6314,,
zgierski,602,790,22401,27666,4786,1017,,10640,1059.0,
sieradzki,424,857,17032,12093,7780,1249,,6558,610.0,
poddębicki,126,188,4815,3003,3956,618,,1686,221.0,
łaski,177,201,6888,5115,3147,512,,2682,325.0,
zduńskowolski,240,341,9970,9231,2219,379,,4470,642.0,
pabianicki,449,559,18089,21860,3832,657,,7752,1071.0,
wieruszowski,173,194,5100,4037,3204,413,,1764,138.0,
łowicki,274,295,12238,7267,6844,710,,3823,466.0,
pajęczański,169,269,8289,3744,2020,680,,2368,170.0,
wieluński,274,439,9036,7122,7319,1738,,3427,270.0,
łęczycki,176,187,6310,4554,3520,1163,,2302,160.0,
kutnowski,452,363,14216,10793,5103,1215,,6167,447.0,
Grudziądz,412,311,9444,19007,1214,469,,9625,,
toruński,344,263,8140,10765,5827,640,,4236,,
chełmiński,257,218,4587,6327,2055,453,,3487,,
golubsko-dobrzyński,126,147,4146,4146,2462,961,,2247,,
brodnicki,292,251,7142,7667,6118,695,,3679,,
Toruń,605,816,26371,48108,3316,637,,17655,,
włocławski,327,240,7294,7409,4305,1159,,4514,,
radziejowski,310,129,3548,3444,2739,666,,2246,,
aleksandrowski,311,211,6002,7563,2939,628,,3864,,
Włocławek,498,302,12197,22839,3715,669,,12160,,
grudziądzki,157,147,3129,3163,2424,636,,1705,,
lipnowski,241,171,6329,5416,3232,695,,2735,,
wąbrzeski,159,151,2423,4326,1707,489,,1909,,
rypiński,147,101,4304,4044,2549,378,,1966,,
brzeski,385,525,11044,14963,3428,868,135.0,3764,,
głubczycki,202,218,4883,7801,1476,398,221.0,1463,,
kluczborski,184,255,6213,10059,2589,387,1279.0,2336,,
Opole,323,724,10963,35293,2114,307,1608.0,9001,,
namysłowski,179,198,4474,5686,2758,294,182.0,2365,,
krapkowicki,186,239,2727,10276,513,157,4559.0,1497,,
prudnicki,184,217,5325,8203,1189,536,2312.0,1821,,
opolski,303,488,6244,19532,1963,481,9197.0,3203,,
oleski,254,200,4356,8590,1966,425,3109.0,2308,,
strzelecki,196,271,4237,11132,804,272,5620.0,2144,,
