,Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera,Komitet Wyborczy Nowa Prawica - Janusza Korwin-Mikke,Komitet Wyborczy Platforma Obywatelska RP,Komitet Wyborczy Polska Jest Najważniejsza,Komitet Wyborczy Polska Partia Pracy - Sierpień 80,Komitet Wyborczy Polskie Stronnictwo Ludowe,Komitet Wyborczy Prawica,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Ruch Palikota,Komitet Wyborczy Sojusz Lewicy Demokratycznej,Komitet Wyborczy Wyborców Mniejszość Niemiecka
Polska,,,5629773,315393,,1201628,35169.0,4295016,1439490,1184303,28014.0
O_Kalisz,,5525.0,125596,5836,1833.0,43278,,82114,34367,40250,
O_Radom,,,67349,4575,1515.0,36488,2926.0,103798,22056,19828,
O_Gdynia,,,220245,12423,2574.0,25485,,113647,43264,36190,
O_Wałbrzych,,,102368,4226,1797.0,13832,,54271,28853,20177,
O_Kraków_I,,,85670,7055,1463.0,14074,2312.0,91220,21137,16438,
O_Legnica,,,136683,6349,2150.0,17985,,95277,39899,45825,
O_Gliwice,,,140272,6527,2385.0,14028,,65724,30320,21932,
O_Katowice,,9079.0,195018,15614,3442.0,11237,,98737,43884,25704,
O_Piotrków_Trybunalski,,,66889,4956,1801.0,34789,2230.0,103472,23010,23988,
O_Sieradz,1388.0,5713.0,106601,5866,1924.0,42671,976.0,109205,35623,29933,
O_Toruń,,5433.0,140681,5887,2178.0,33443,,91049,37741,35253,
O_Opole,,,140641,7121,1726.0,18816,1967.0,65739,30919,24723,28014.0
O_Nowy_Sącz,,4963.0,77809,6041,1001.0,19387,1330.0,143543,13022,11750,
O_Warszawa_I,,,498599,30964,4060.0,17755,,277577,110589,78020,
O_Bydgoszcz,,5909.0,158938,6929,2259.0,30509,,80632,44447,38001,
O_Krosno,981.0,4202.0,75403,4487,1018.0,37702,1466.0,133320,21044,18407,
O_Płock,,,78623,6740,2101.0,51766,,93307,23175,20798,
O_Bielsko-Biała,,,131471,6822,1913.0,21143,2735.0,98152,29338,19881,
O_Kielce,1262.0,6754.0,109916,6982,2528.0,85590,1406.0,138039,38331,42096,
O_Koszalin,,,99506,3641,1516.0,13756,,45558,26582,24474,
O_Lublin,,8779.0,116252,11924,2294.0,57606,1819.0,177543,54139,29799,
O_Zielona_Góra,,5538.0,148970,5293,1720.0,25575,,72302,38958,34300,
O_Warszawa_II,,11673.0,182123,12151,2085.0,32064,1674.0,145893,38482,23739,
O_Poznań,,,220354,8387,2010.0,11960,,76772,46750,33764,
O_Chełm,1470.0,,63005,6892,1787.0,57882,,124084,38296,24513,
O_Łódź,590.0,7774.0,171750,5865,1703.0,9750,,90558,39204,35069,
O_Konin,,5117.0,80857,4751,1242.0,33590,1043.0,71795,29236,34289,
O_Częstochowa,,4614.0,78500,4795,1875.0,19688,,61429,30049,23547,
O_Kraków_II,,16765.0,224915,10749,2194.0,22574,,156800,45079,27504,
O_Sosnowiec,,,120530,5856,2185.0,12281,2051.0,59453,41504,36460,
O_Piła,,,113226,5440,1801.0,31192,,50023,28633,29638,
O_Gdańsk,1026.0,,219106,8584,2009.0,19313,,102131,37615,25542,
O_Rzeszów,848.0,8555.0,111871,8393,1541.0,47832,2285.0,219629,30718,25649,
O_Elbląg,963.0,,82904,3430,1340.0,23870,,45403,22659,15091,
O_Olsztyn,,,108522,5276,1643.0,30713,1740.0,59996,29122,23020,
O_Tarnów,,,76688,7909,1201.0,25833,2457.0,112982,17017,13863,
O_Szczecin,,6290.0,178124,7062,1815.0,16545,1379.0,82529,45111,42165,
O_Rybnik,,5100.0,118524,8448,1712.0,9206,842.0,75504,23804,20908,
O_Białystok,1205.0,6820.0,127224,9616,1669.0,47338,1279.0,158572,34397,40603,
O_Siedlce,,5549.0,77181,7435,1917.0,61136,1252.0,139926,23490,24418,
O_Wrocław,,11685.0,250869,8096,2220.0,21946,,127311,47626,26754,
