,PiS,Komitet Wyborczy Polska Jest Najważniejsza,SLD,Ruch Palikota/Twój Ruch,PSL,Komitet Wyborczy Polska Partia Pracy - Sierpień 80,PO,Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera,Komitet Wyborczy Nowa Prawica - Janusza Korwin-Mikke,Komitet Wyborczy Prawica,Komitet Wyborczy Wyborców Mniejszość Niemiecka
Polska,4295016,315393,1184303,1439490,1201628,79147,5629773,9733.0,151837.0,35169.0,28014.0
ostrowski,82114,5836,40250,34367,43278,1833,125596,,5525.0,,
Kalisz,82114,5836,40250,34367,43278,1833,125596,,5525.0,,
pleszewski,82114,5836,40250,34367,43278,1833,125596,,5525.0,,
jarociński,82114,5836,40250,34367,43278,1833,125596,,5525.0,,
gostyński,82114,5836,40250,34367,43278,1833,125596,,5525.0,,
kościański,82114,5836,40250,34367,43278,1833,125596,,5525.0,,
krotoszyński,82114,5836,40250,34367,43278,1833,125596,,5525.0,,
kępiński,82114,5836,40250,34367,43278,1833,125596,,5525.0,,
rawicki,82114,5836,40250,34367,43278,1833,125596,,5525.0,,
Leszno,82114,5836,40250,34367,43278,1833,125596,,5525.0,,
kaliski,82114,5836,40250,34367,43278,1833,125596,,5525.0,,
leszczyński,82114,5836,40250,34367,43278,1833,125596,,5525.0,,
ostrzeszowski,82114,5836,40250,34367,43278,1833,125596,,5525.0,,
białobrzeski,103798,4575,19828,22056,36488,1515,67349,,,2926.0,
Radom,103798,4575,19828,22056,36488,1515,67349,,,2926.0,
zwoleński,103798,4575,19828,22056,36488,1515,67349,,,2926.0,
lipski,103798,4575,19828,22056,36488,1515,67349,,,2926.0,
kozienicki,103798,4575,19828,22056,36488,1515,67349,,,2926.0,
przysuski,103798,4575,19828,22056,36488,1515,67349,,,2926.0,
grójecki,103798,4575,19828,22056,36488,1515,67349,,,2926.0,
radomski,103798,4575,19828,22056,36488,1515,67349,,,2926.0,
szydłowiecki,103798,4575,19828,22056,36488,1515,67349,,,2926.0,
słupski,113647,12423,36190,43264,25485,2574,220245,,,,
Gdynia,113647,12423,36190,43264,25485,2574,220245,,,,
kościerski,113647,12423,36190,43264,25485,2574,220245,,,,
wejherowski,113647,12423,36190,43264,25485,2574,220245,,,,
Słupsk,113647,12423,36190,43264,25485,2574,220245,,,,
lęborski,113647,12423,36190,43264,25485,2574,220245,,,,
człuchowski,113647,12423,36190,43264,25485,2574,220245,,,,
bytowski,113647,12423,36190,43264,25485,2574,220245,,,,
pucki,113647,12423,36190,43264,25485,2574,220245,,,,
kartuski,113647,12423,36190,43264,25485,2574,220245,,,,
chojnicki,113647,12423,36190,43264,25485,2574,220245,,,,
kłodzki,54271,4226,20177,28853,13832,1797,102368,,,,
wałbrzyski,54271,4226,20177,28853,13832,1797,102368,,,,
ząbkowicki,54271,4226,20177,28853,13832,1797,102368,,,,
świdnicki,54271,4226,20177,28853,13832,1797,102368,,,,
dzierżoniowski,54271,4226,20177,28853,13832,1797,102368,,,,
oświęcimski,91220,7055,16438,21137,14074,1463,85670,,,2312.0,
myślenicki,91220,7055,16438,21137,14074,1463,85670,,,2312.0,
