,SLD,Razem KW KORWiN,Nowoczesna.pl,PO,PiS,Razem KW Razem,Razem KW Samoobrona,Razem KWW Grzegorza Brauna „Szczęść Boże!”,Razem KWW JOW Bezpartyjni,Razem KWW Mniejszość Niemiecka,PO,Razem KWW Ruch Społeczny RP,Razem KWW Zbigniewa Stonogi,Razem KWW Zjednoczeni dla Śląska,Kukiz,Razem Komitet Wyborczy Kongres Nowej Prawicy,PSL,okrag
0,37298.0,15427.0,25506.0,90060.0,127370.0,13003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34229.0,0.0,13886.0,1
1,20517.0,10075.0,15544.0,76424.0,72929.0,7984.0,0.0,0.0,2068.0,0.0,0.0,0.0,0.0,0.0,20634.0,0.0,7448.0,2
2,31932.0,27341.0,55756.0,159582.0,163323.0,22059.0,0.0,1269.0,0.0,0.0,0.0,0.0,2779.0,0.0,45726.0,0.0,13604.0,3
3,37583.0,17002.0,27334.0,110948.0,113024.0,14062.0,0.0,0.0,0.0,0.0,0.0,0.0,2543.0,0.0,29080.0,0.0,22701.0,4
4,39003.0,14134.0,23563.0,93432.0,121703.0,13227.0,772.0,0.0,0.0,0.0,0.0,0.0,2041.0,0.0,30159.0,0.0,24476.0,5
5,29172.0,24376.0,22158.0,80892.0,232014.0,13395.0,580.0,1353.0,0.0,0.0,0.0,599.0,0.0,0.0,45448.0,0.0,37733.0,6
6,24161.0,14835.0,12745.0,41823.0,163122.0,8116.0,628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35567.0,0.0,38689.0,7
7,34695.0,17274.0,34586.0,97676.0,97877.0,13825.0,0.0,0.0,0.0,0.0,0.0,0.0,2258.0,0.0,30284.0,0.0,17743.0,8
8,37615.0,17163.0,32274.0,112333.0,107350.0,16627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25992.0,0.0,9710.0,9
9,21352.0,11160.0,15983.0,44173.0,134134.0,8747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28808.0,0.0,21364.0,10
