województwo,Blue,Red,Gray
DOLNOŚLĄSKIE,437542.0,768406,26022.0
KUJAWSKO-POMORSKIE,303899.0,490576,17156.0
LUBELSKIE,498741.0,322140,32323.0
LUBUSKIE,128275.0,255057,10883.0
MAZOWIECKIE,1138609.0,1361875,66043.0
MAŁOPOLSKIE,705566.0,662226,40513.0
OPOLSKIE,115082.0,212933,40525.0
PODKARPACKIE,492827.0,306938,21826.0
PODLASKIE,230449.0,217120,13611.0
POMORSKIE,326606.0,627796,21738.0
WARMIŃSKO-MAZURSKIE,204299.0,313027,12497.0
WIELKOPOLSKIE,527859.0,870757,31449.0
ZACHODNIOPOMORSKIE,224275.0,445879,15189.0
ŁÓDZKIE,505190.0,555960,35973.0
ŚLĄSKIE,761767.0,1211806,50401.0
ŚWIĘTOKRZYSKIE,267464.0,201495,13612.0
