województwo,Blue,Red,Gray
DOLNOŚLĄSKIE,420983,768406,42581.0
KUJAWSKO-POMORSKIE,287570,490576,33485.0
LUBELSKIE,478302,322140,52762.0
LUBUSKIE,121621,255057,17537.0
MAZOWIECKIE,1108208,1361875,96444.0
MAŁOPOLSKIE,692611,662226,53468.0
OPOLSKIE,108687,212933,46920.0
PODKARPACKIE,481519,306938,33134.0
PODLASKIE,221146,217120,22914.0
POMORSKIE,313144,627796,35200.0
WARMIŃSKO-MAZURSKIE,192277,313027,24519.0
WIELKOPOLSKIE,503345,870757,55963.0
ZACHODNIOPOMORSKIE,206685,445879,32779.0
ŁÓDZKIE,482058,555960,59105.0
ŚLĄSKIE,743369,1211806,68799.0
ŚWIĘTOKRZYSKIE,259590,201495,21486.0
